id_nivel,elemento,estado_ionizacion,espectro,configuracion,termino,j_valor,j_texto,j_resuelto,g,energia_ev,energia_interpolada,incertidumbre_ev,referencia
001001.001.000046,H,1,H I,10p,2P*,1.5,3/2,True,4.0,13.462451421,True,5e-09,L15291
001001.001.000044,H,1,H I,10s,2S,0.5,1/2,True,2.0,13.462451094,True,5e-09,L15291
001001.001.000045,H,1,H I,10d,2D,1.5,3/2,True,4.0,13.46245141908,True,1.6e-10,L15291
001001.001.000047,H,1,H I,10d,2D,2.5,5/2,True,6.0,13.46245154007,False,1.6e-10,L15291
001001.001.000067,H,1,H I,10,,,,,200.0,13.46245155,False,1e-07,L15291
001001.001.000048,H,1,H I,11p,2P*,0.5,1/2,True,2.0,13.486051554,True,5e-09,L15291
001001.001.000051,H,1,H I,11p,2P*,1.5,3/2,True,4.0,13.486051827,True,5e-09,L15291
001001.001.000049,H,1,H I,11s,2S,0.5,1/2,True,2.0,13.486051581,True,5e-09,L15291
001001.001.000050,H,1,H I,11d,2D,1.5,3/2,True,4.0,13.486051825,True,3e-09,L15291
001001.001.000052,H,1,H I,11d,2D,2.5,5/2,True,6.0,13.486051916,True,3e-09,L15291
001001.001.000068,H,1,H I,11,,,,,242.0,13.48605194,False,7e-08,L15291
001001.001.000053,H,1,H I,12p,2P*,0.5,1/2,True,2.0,13.504001658,True,5e-09,L15291
001001.001.000056,H,1,H I,12p,2P*,1.5,3/2,True,4.0,13.504001867,True,5e-09,L15291
001001.001.000054,H,1,H I,12s,2S,0.5,1/2,True,2.0,13.504001678,True,5e-09,L15291
001001.001.000055,H,1,H I,12d,2D,1.5,3/2,True,4.0,13.50400186581,False,4e-11,L15291
001001.001.000057,H,1,H I,12d,2D,2.5,5/2,True,6.0,13.50400193582,False,3e-11,L15291
001001.001.000069,H,1,H I,12,,,,,288.0,13.50400193,False,6e-08,L15291
001001.001.000070,H,1,H I,13,,,,,338.0,13.51797128,True,1.1e-07,L15291
001001.001.000071,H,1,H I,14,,,,,392.0,13.52905552,True,1.1e-07,L15291
001001.001.000072,H,1,H I,15,,,,,450.0,13.53799772,True,1.1e-07,L15291
001001.001.000073,H,1,H I,16,,,,,512.0,13.54531624,True,1.2e-07,L15291
001001.001.000074,H,1,H I,17,,,,,578.0,13.55138166,True,1.2e-07,L15291
001001.001.000075,H,1,H I,18,,,,,648.0,13.55646454,True,1.2e-07,L15291
001001.001.000076,H,1,H I,19,,,,,722.0,13.56076619,True,1.2e-07,L15291
001001.001.000077,H,1,H I,20,,,,,800.0,13.56443886,True,1.2e-07,L15291
001001.001.000078,H,1,H I,21,,,,,882.0,13.56759946,True,1.2e-07,L15291
001001.001.000079,H,1,H I,22,,,,,968.0,13.57033894,True,1.2e-07,L15291
001001.001.000080,H,1,H I,23,,,,,1058.0,13.57272894,True,1.2e-07,L15291
001001.001.000081,H,1,H I,24,,,,,1152.0,13.57482645,True,1.2e-07,L15291
001001.001.000082,H,1,H I,25,,,,,1250.0,13.57667733,True,1.2e-07,L15291
001001.001.000083,H,1,H I,26,,,,,1352.0,13.57831878,True,1.2e-07,L15291
001001.001.000084,H,1,H I,27,,,,,1458.0,13.57978125,True,1.2e-07,L15291
001001.001.000085,H,1,H I,28,,,,,1568.0,13.58108984,True,1.2e-07,L15291
001001.001.000086,H,1,H I,29,,,,,1682.0,13.58226541,True,1.2e-07,L15291
001001.001.000087,H,1,H I,30,,,,,1800.0,13.58332538,True,1.2e-07,L15291
001001.001.000088,H,1,H I,31,,,,,1922.0,13.58428445,True,1.2e-07,L15291
001001.001.000089,H,1,H I,32,,,,,2048.0,13.58515502,True,1.2e-07,L15291
001001.001.000090,H,1,H I,33,,,,,2178.0,13.58594765,True,1.2e-07,L15291
001001.001.000091,H,1,H I,34,,,,,2312.0,13.58667137,True,1.2e-07,L15291
001001.001.000092,H,1,H I,35,,,,,2450.0,13.58733395,True,1.2e-07,L15291
001001.001.000093,H,1,H I,36,,,,,2592.0,13.58794208,True,1.2e-07,L15291
001001.001.000094,H,1,H I,37,,,,,2738.0,13.58850159,True,1.2e-07,L15291
001001.001.000095,H,1,H I,38,,,,,2888.0,13.5890175,True,1.2e-07,L15291
001001.001.000096,H,1,H I,39,,,,,3042.0,13.58949423,True,1.2e-07,L15291
001001.001.000097,H,1,H I,40,,,,,3200.0,13.58993566,True,1.2e-07,L15291
001001.001.Lim001,H,1,H I,,Limit,,---,False,,13.598434599702,False,1.2e-11,HDEL
002001.000001,He,1,He I,1s2,1S,0.0,0,True,1.0,0.0,True,1.5e-07,L22715
002001.000002,He,1,He I,1s.2s,3S,1.0,1,True,3.0,19.819614525,True,5e-09,"L22715c200,L20736"
002001.000003,He,1,He I,1s.2s,1S,0.0,0,True,1.0,20.615774823,True,8e-09,"L22715c200,L20736"
002001.000004,He,1,He I,1s.2p,3P*,2.0,2,True,5.0,20.96408688908,True,3e-09,"L22715c200,L20736"
002001.000005,He,1,He I,1s.2p,3P*,1.0,1,True,3.0,20.96409636464,True,3e-09,"L22715c200,L20736"
002001.000006,He,1,He I,1s.2p,3P*,0.0,0,True,1.0,20.96421885051,True,3e-09,"L22715c200,L20736"
002001.000007,He,1,He I,1s.2p,1P*,1.0,1,True,3.0,21.2180227112,True,1.6e-09,"L22715c200,L20736"
002001.000008,He,1,He I,1s.3s,3S,1.0,1,True,3.0,22.718466419,True,8e-09,L22715c200
002001.000009,He,1,He I,1s.3s,1S,0.0,0,True,1.0,22.920317359,True,4e-09,L22715c200
002001.000010,He,1,He I,1s.3p,3P*,2.0,2,True,5.0,23.00707314571,True,4e-11,L22715c200
002001.000011,He,1,He I,1s.3p,3P*,1.0,1,True,3.0,23.0070758719,True,4e-10,L22715c200
002001.000012,He,1,He I,1s.3p,3P*,0.0,0,True,1.0,23.0071094335,True,4e-10,L22715c200
002001.000013,He,1,He I,1s.3d,3D,3.0,3,True,7.0,23.07365070854,True,1e-10,"L22715c200,L21466"
002001.000014,He,1,He I,1s.3d,3D,2.0,2,True,5.0,23.07365101981,True,1e-10,"L22715c200,L21466"
002001.000015,He,1,He I,1s.3d,3D,1.0,1,True,3.0,23.07365649967,True,1e-10,"L22715c200,L21466"
002001.000016,He,1,He I,1s.3d,1D,2.0,2,True,5.0,23.07407479777,True,8e-11,"L22715c200,L21466"
