id_nivel,codigo_referencia
002001.000134,L21466
002001.000135,L22715c200
002001.000135,L21466
002001.000136,L22715c200
002001.000136,L21466
002001.000137,L22715c200
002001.000138,L22715c200
002001.000139,L22715c200
002001.000140,L22715c200
002001.000141,L22715c200
002001.000142,L22715c200
002001.000143,L22715c200
002001.000144,L22715c200
002001.000145,L22715c200
002001.000146,L22715c200
002001.000147,L22715c200
002001.000148,L22715c200
002001.000149,L22715c200
002001.000150,L22715c200
002001.000151,L22715c200
002001.000152,L22715c200
002001.000153,L22715c200
002001.000154,L22715c200
002001.000155,L22715c200
002001.000156,L22715c200
002001.000157,L22715c200
002001.000158,L22715c200
002001.000159,L22715c200
002001.000160,L22715c200
002001.000161,L22715c200
002001.000162,L22715c200
002001.000163,L22715c200
002001.000163,L21466
002001.000164,L22715c200
002001.000164,L21466
002001.000165,L22715c200
002001.000165,L21466
002001.000166,L22715c200
002001.000166,L21466
002001.000167,L22715c200
002001.000168,L22715c200
002001.000169,L22715c200
002001.000170,L22715c200
002001.000171,L22715c200
002001.000172,L22715c200
002001.000173,L22715c200
002001.000174,L22715c200
002001.000175,L22715c200
002001.000176,L22715c200
002001.000177,L22715c200
002001.000178,L22715c200
002001.000179,L22715c200
002001.000180,L22715c200
002001.000181,L22715c200
002001.000182,L22715c200
002001.000183,L22715c200
002001.000184,L22715c200
002001.000185,L22715c200
002001.000186,L22715c200
002001.000187,L22715c200
002001.000224,L22715c201
002001.000199,L22715c201
002001.000319,L22715c201
002001.000294,L22715c201
002001.000269,L22715c201
002001.000419,L22715c201
002001.000394,L22715c201
002001.000369,L22715c201
002001.000344,L22715c201
002001.000494,L22715c201
002001.000519,L22715c201
002001.000469,L22715c201
002001.000444,L22715c201
002001.000594,L22715c201
002001.000619,L22715c201
002001.000569,L22715c201
002001.000544,L22715c201
002001.000694,L22715c201
002001.000719,L22715c201
002001.000669,L22715c201
002001.000644,L22715c201
002001.000794,L22715c201
002001.000819,L22715c201
002001.000769,L22715c201
002001.000744,L22715c201
002001.000190,L22715c201
002001.000225,L22715c201
002001.000200,L22715c201
002001.000320,L22715c201
002001.000295,L22715c201
002001.000270,L22715c201
002001.000420,L22715c201
002001.000395,L22715c201
002001.000370,L22715c201
002001.000345,L22715c201
002001.000495,L22715c201
002001.000520,L22715c201
002001.000470,L22715c201
002001.000445,L22715c201
002001.000595,L22715c201
002001.000620,L22715c201
002001.000570,L22715c201
002001.000545,L22715c201
002001.000695,L22715c201
002001.000720,L22715c201
002001.000670,L22715c201
002001.000645,L22715c201
002001.000795,L22715c201
002001.000820,L22715c201
002001.000770,L22715c201
002001.000745,L22715c201
002001.000191,L22715c201
002001.000226,L22715c201
002001.000201,L22715c201
002001.000321,L22715c201
002001.000296,L22715c201
002001.000271,L22715c201
002001.000421,L22715c201
002001.000396,L22715c201
002001.000371,L22715c201
002001.000346,L22715c201
002001.000496,L22715c201
002001.000521,L22715c201
002001.000471,L22715c201
002001.000446,L22715c201
002001.000596,L22715c201
002001.000621,L22715c201
002001.000571,L22715c201
002001.000546,L22715c201
002001.000696,L22715c201
002001.000721,L22715c201
002001.000671,L22715c201
002001.000646,L22715c201
002001.000796,L22715c201
002001.000821,L22715c201
002001.000771,L22715c201
002001.000746,L22715c201
002001.000192,L22715c201
002001.000227,L22715c201
002001.000202,L22715c201
002001.000322,L22715c201
002001.000297,L22715c201
002001.000272,L22715c201
002001.000422,L22715c201
002001.000397,L22715c201
002001.000372,L22715c201
002001.000347,L22715c201
002001.000497,L22715c201
002001.000522,L22715c201
002001.000472,L22715c201
002001.000447,L22715c201
002001.000597,L22715c201
002001.000622,L22715c201
002001.000572,L22715c201
002001.000547,L22715c201
002001.000697,L22715c201
002001.000722,L22715c201
002001.000672,L22715c201
002001.000647,L22715c201
002001.000797,L22715c201
002001.000822,L22715c201
002001.000772,L22715c201
002001.000747,L22715c201
002001.000193,L22715c201
002001.000228,L22715c201
002001.000203,L22715c201
002001.000323,L22715c201
002001.000298,L22715c201
002001.000273,L22715c201
002001.000423,L22715c201
002001.000398,L22715c201
002001.000373,L22715c201
002001.000348,L22715c201
002001.000498,L22715c201
002001.000523,L22715c201
002001.000473,L22715c201
002001.000448,L22715c201
002001.000598,L22715c201
002001.000623,L22715c201
002001.000573,L22715c201
002001.000548,L22715c201
002001.000698,L22715c201
002001.000723,L22715c201
002001.000673,L22715c201
002001.000648,L22715c201
002001.000798,L22715c201
002001.000823,L22715c201
002001.000773,L22715c201
002001.000748,L22715c201
002001.000194,L22715c201
002001.000229,L22715c201
002001.000204,L22715c201
002001.000324,L22715c201
002001.000299,L22715c201
002001.000274,L22715c201
002001.000424,L22715c201
002001.000399,L22715c201
002001.000374,L22715c201
002001.000349,L22715c201
002001.000499,L22715c201
002001.000524,L22715c201
002001.000474,L22715c201
002001.000449,L22715c201
002001.000599,L22715c201
002001.000624,L22715c201
002001.000574,L22715c201
002001.000549,L22715c201
002001.000699,L22715c201
002001.000724,L22715c201
002001.000674,L22715c201
002001.000649,L22715c201
002001.000799,L22715c201
002001.000824,L22715c201
002001.000774,L22715c201
002001.000749,L22715c201
002001.000249,L22715c201
002001.000230,L22715c201
002001.000205,L22715c201
002001.000325,L22715c201
002001.000300,L22715c201
002001.000275,L22715c201
002001.000425,L22715c201
002001.000400,L22715c201
002001.000375,L22715c201
002001.000350,L22715c201
002001.000500,L22715c201
002001.000525,L22715c201
002001.000475,L22715c201
002001.000450,L22715c201
002001.000600,L22715c201
002001.000625,L22715c201
002001.000575,L22715c201
002001.000550,L22715c201
002001.000700,L22715c201
002001.000725,L22715c201
002001.000675,L22715c201
002001.000650,L22715c201
002001.000800,L22715c201
002001.000825,L22715c201
002001.000775,L22715c201
002001.000750,L22715c201
002001.000250,L22715c201
002001.000231,L22715c201
002001.000206,L22715c201
002001.000326,L22715c201
002001.000301,L22715c201
002001.000276,L22715c201
002001.000426,L22715c201
002001.000401,L22715c201
002001.000376,L22715c201
002001.000351,L22715c201
002001.000501,L22715c201
002001.000526,L22715c201
002001.000476,L22715c201
002001.000451,L22715c201
002001.000601,L22715c201
002001.000626,L22715c201
002001.000576,L22715c201
002001.000551,L22715c201
002001.000701,L22715c201
002001.000726,L22715c201
002001.000676,L22715c201
002001.000651,L22715c201
002001.000801,L22715c201
002001.000826,L22715c201
002001.000776,L22715c201
002001.000751,L22715c201
002001.000251,L22715c201
002001.000232,L22715c201
002001.000207,L22715c201
