id_linea,elemento,espectro,estado_ionizacion,longitud_onda_nm,longitud_onda_vacio_nm,longitud_onda_origen,medio,longitud_onda_obs_nm,longitud_onda_ritz_nm,ritz_es_limite,incertidumbre_obs_nm,incertidumbre_ritz_nm,region_espectral,aki_s1,log10_aki,tiene_aki,fuerza_oscilador_fik,log_gf,exactitud,tipo_transicion,intensidad_valor,intensidad_bandera,energia_inferior_cm1,energia_superior_cm1,energia_inferior_interpolada,energia_superior_interpolada,energia_inferior_origen_desconocido,energia_superior_origen_desconocido,energia_foton_ev,configuracion_inferior,termino_inferior,j_inferior,j_inferior_texto,j_inferior_resuelto,g_inferior,configuracion_superior,termino_superior,j_superior,j_superior_texto,j_superior_resuelto,g_superior,id_nivel_inferior,id_nivel_superior,ref_probabilidad,ref_longitud_onda,medicion_repetida
12559,C,C I,1,1336.673,1337.0472684400002,ritz,aire,,1336.673,False,,0.005,Infrarrojo,90000.0,4.954242509439325,True,0.0042,-1.9,D,E1,,,81105.06418,88584.28,False,False,False,False,0.9273045783917595,2s2.2p.4p,3S,1.0,1,True,3,2s2.2p.(2P*<3/2>).8s,2[3/2]*,2.0,2,True,5,006001.000051,006001.000163,T5520LS,,False
12560,N,N I,1,1337.175,1337.549409,ritz,aire,,1337.175,False,,,Infrarrojo,9880.0,3.9947569445876283,True,0.000132,-3.276,D+,E1,,,103667.16,111143.567,False,False,False,False,0.9269563290955006,2s2.2p2.(3P).4s,4P,1.5,3/2,True,4,2s2.2p2.(3P).5p,4D*,0.5,1/2,True,2,007001.000042,007001.000121,"u18,LS",,False
12561,N,N II,2,1337.504,1337.87850112,ritz,aire,,1337.504,False,,,Infrarrojo,1610000.0,6.20682587603185,True,0.0259,-0.887,C+,E1,,,202765.26,210239.83,False,False,False,False,0.9267285701229672,2s2.2p.4p,3D,2.0,2,True,5,2s2.2p.4d,3D*,1.0,1,True,3,007002.000062,007002.000077,T5520LS,,False
12562,N,N I,1,1338.1806,1338.555290568,ritz,aire,,1338.1806,False,,,Infrarrojo,520.0,2.716003343634799,True,1.4e-05,-4.252,C,E1,,,96750.84,104221.63,False,False,False,False,0.9262599098528732,2s2.2p2.(3P).3p,4S*,1.5,3/2,True,4,2s2.2p2.(3P).4s,2P,1.5,3/2,True,4,007001.000034,007001.000045,T7370,,False
12563,N,N I,1,1338.584,1338.9588035200002,ritz,aire,,1338.584,False,,,Infrarrojo,17700.0,4.247973266361806,True,0.000476,-2.544,D+,E1,,,103735.48,111204.016,False,False,False,False,0.9259804494695926,2s2.2p2.(3P).4s,4P,2.5,5/2,True,6,2s2.2p2.(3P).5p,4D*,2.5,5/2,True,6,007001.000043,007001.000124,"u18,LS",,False
12564,Ne,Ne I,1,1338.929,1339.3039001200002,observada,aire,1338.929,1338.9285,False,0.0005,0.0004,Infrarrojo,,,False,,,,E1,7.0,,163401.3061,170867.923,False,False,False,False,0.925742511394371,2s2.2p5.(2P*<3/2>).4p,2[1/2],0.0,0,True,1,2s2.2p5.(2P*<3/2>).6d,2[3/2]*,1.0,1,True,3,010001.000037,010001.000137,,L9097,False
12565,Be,Be I,1,1340.77,1341.1454156,ritz,aire,,1340.77,False,,0.09,Infrarrojo,51500.0,4.711807229041191,True,0.00417,-2.38,C,E1,,,65245.437,72701.8,False,True,False,False,0.9244711898219995,1s2.2s.4s,1S,0.0,0,True,1,1s2.2s.7p,1P*,1.0,1,True,3,004001.000021,004001.000067,u28,,False
12566,C,C I,1,1340.99347,1341.3689481715999,ritz,aire,,1340.99347,False,,3e-05,Infrarrojo,5600.0,3.7481880270062002,True,0.00025,-3.12,C,E1,,,70743.97227,78199.09144,False,False,False,False,0.9243169745564558,2s2.2p.3p,3S,1.0,1,True,3,2s2.2p.3d,3F*,2.0,2,True,5,006001.000022,006001.000035,T6070,,False
12567,He,He I,1,1341.168334,1341.54386113352,ritz,aire,,1341.168334,False,,7e-06,Infrarrojo,2057200.0,6.3132765156490525,True,0.018502,-1.25566,AAA,E1,,,186209.3623329,193663.509489,True,True,False,False,0.9241964601921915,1s.3p,1P*,1.0,1,True,3,1s.5s,1S,0.0,0,True,1,002001.000017,002001.000033,T8636c73,,False
12568,O,O I,1,1341.4853,1341.8609158840002,ritz,aire,,1341.4853,False,,,Infrarrojo,208000.0,5.318063334962762,True,0.00936,-1.552,C+,E1,,,99092.968,106545.354,False,False,False,False,0.9239781046648103,2s2.2p3.(4S*).4p,5P,1.0,1,True,3,2s2.2p3.(4S*).7s,5S*,2.0,2,True,5,008001.000057,008001.000115,T5713LS,,False
