id_linea,id_espectro,id_nivel_inferior,id_nivel_superior,codigo_tipo_transicion,codigo_exactitud,longitud_onda_nm,longitud_onda_origen,medio,longitud_onda_obs_nm,longitud_onda_ritz_nm,ritz_es_limite,incertidumbre_obs_nm,incertidumbre_ritz_nm,aki_s1,fuerza_oscilador_fik,log_gf,intensidad_valor,intensidad_bandera,energia_inferior_cm1,energia_superior_cm1,energia_inferior_interpolada,energia_superior_interpolada,energia_inferior_origen_desconocido,energia_superior_origen_desconocido,medicion_repetida
10276,18,010002.000045,010002.000064,E1,,774.074,observada,aire,774.074,774.07419,False,0.0003,0.00012,,,,240.0,,281171.3566,294086.4608,False,False,False,False,False
10277,18,010002.000053,010002.000093,E1,,774.5019,observada,aire,774.5019,774.50233,False,0.002,0.00012,,,,160.0,,290371.9268,303279.8915,False,False,False,False,False
10278,15,009001.000006,009001.000015,E1,C+,775.4696,observada,aire,775.4696,775.469,True,0.0002,,32300000.0,0.437,0.24,18000.0,,104731.05,117622.92,False,False,False,False,False
10279,12,007002.000042,007002.000047,E1,B,776.224,observada,aire,776.224,776.224,False,,,8490000.0,0.0767,-0.416,450.0,,174212.03,187091.37,False,False,False,False,False
10280,13,008001.000039,008001.000043,E1,A,777.194,observada,aire,777.194,777.1944,False,,,36900000.0,0.468,0.369,870.0,,73768.2,86631.454,False,False,False,False,False
10281,13,008001.000039,008001.000042,E1,A,777.417,observada,aire,777.417,777.4166,False,,,36900000.0,0.335,0.223,810.0,,73768.2,86627.778,False,False,False,False,False
10282,13,008001.000039,008001.000041,E1,A,777.539,observada,aire,777.539,777.5388,False,,,36900000.0,0.201,0.002,750.0,,73768.2,86625.757,False,False,False,False,False
10283,5,004001.000015,004001.000075,E1,B,779.2,observada,aire,779.2,779.202,False,0.005,0.004,602000.0,0.00913,-1.562,2.0,w,60187.4434,73017.55,False,False,False,False,False
10284,15,009001.000007,009001.000016,E1,C+,780.022,observada,aire,780.022,780.021,True,1.8e-05,,25200000.0,0.46,-0.04,15000.0,,105056.28,117872.92,False,False,False,False,False
10285,2,002001.000008,002001.000076,E1,AAA,781.612468,ritz,aire,,781.612468,False,,6e-06,257480.0,0.0007865,-2.62718,1.0,*,183236.789095,196027.3338587,True,True,False,False,False
10286,2,002001.000008,002001.000075,E1,AAA,781.61368,ritz,aire,,781.61368,False,,6e-06,257480.0,0.0023595,-2.15006,1.0,*,183236.789095,196027.314035,True,True,False,False,False
10287,2,002001.000008,002001.000074,E1,AAA,781.613778,ritz,aire,,781.613778,False,,6e-06,257480.0,0.0039325,-1.92821,1.0,*,183236.789095,196027.3124205,True,True,False,False,False
10288,15,009001.000008,009001.000043,E1,C+,782.259,observada,aire,782.259,782.259,True,0.003,,1920000.0,0.0176,-0.98,800.0,,115917.91,128697.89,False,False,False,False,False
10289,9,006001.000023,006001.000083,E1,B,783.2629,observada,aire,783.2629,783.26424,False,0.0014,3e-05,570000.0,0.0156,-1.81,17000.0,,71352.54344,84116.1152,False,False,False,False,False
10290,17,010001.000007,010001.000030,E1,C,783.30281,observada,aire,783.30281,783.30285,False,9e-05,9e-05,36800.0,0.000242,-2.77,56.0,,149657.0392,162419.9818,False,False,False,False,False
10291,9,006001.000024,006001.000084,E1,B,783.7105,observada,aire,783.7105,783.71136,False,0.0014,9e-05,1810000.0,0.0056,-1.78,7800.0,,71364.93596,84121.226,False,False,False,False,False
10292,18,010002.000046,010002.000064,E1,,783.8556,observada,aire,783.8556,783.85578,False,0.002,0.00018,,,,160.0,,281332.521,294086.4608,False,False,False,False,False
10293,17,010001.000007,010001.000029,E1,C+,783.9052,observada,aire,783.9052,783.90528,False,9e-05,9e-05,104000.0,0.000957,-2.17,230.0,,149657.0392,162410.1736,False,False,False,False,False
10294,17,010001.000007,010001.000028,E1,C,783.99855,observada,aire,783.99855,783.99873,False,0.00018,9e-05,6600.0,4.35e-05,-3.52,7.0,,149657.0392,162408.6535,False,False,False,False,False
10295,9,006001.000024,006001.000083,E1,B,784.027,observada,aire,784.027,784.02548,False,0.0014,3e-05,520000.0,0.0048,-1.84,9000.0,,71364.93596,84116.1152,False,False,False,False,False
10296,9,006001.000024,006001.000082,E1,B,784.8246,observada,aire,784.8246,784.825094,False,0.0014,2.5e-05,400000.0,0.0062,-1.73,17000.0,,71364.93596,84103.1238,False,False,False,False,False
10297,9,006001.000025,006001.000083,E1,B,785.2862,observada,aire,785.2862,785.28638,False,0.0014,3e-05,750000.0,0.0042,-1.68,19000.0,,71385.40992,84116.1152,False,False,False,False,False
10298,10,006002.000036,006002.000212,E1,B,786.055,observada,aire,786.055,786.072,False,0.018,0.011,2980000.0,0.0414,-0.78,25.0,w*,178495.29,191213.28,False,False,False,False,False
10299,10,006002.000037,006002.000213,E1,B,786.055,observada,aire,786.055,786.086,False,0.018,0.011,3190000.0,0.0394,-0.63,25.0,w*,178495.54,191213.29,False,False,False,False,False
10300,10,006002.000037,006002.000212,E1,D+,786.055,observada,aire,786.055,786.087,False,0.018,0.011,210000.0,0.002,-1.93,25.0,w*,178495.54,191213.28,False,False,False,False,False
10301,9,006001.000025,006001.000082,E1,B,786.088,observada,aire,786.088,786.088573,False,0.004,2.5e-05,1530000.0,0.0142,-1.15,110000.0,bl(Ni),71385.40992,84103.1238,False,False,False,False,False
10302,18,010002.000055,010002.000096,E1,,786.2946,observada,aire,786.2946,786.29436,False,0.002,0.00019,,,,140.0,,290803.7989,303518.1843,False,False,False,False,False
10303,18,010002.000053,010002.000091,E1,,787.1924,observada,aire,787.1924,787.19286,False,0.002,0.00019,,,,60.0,,290371.9268,303071.8002,False,False,False,False,False
10304,18,010002.000054,010002.000093,E1,,787.3873,observada,aire,787.3873,787.38705,False,0.002,0.00012,,,,160.0,,290583.1503,303279.8915,False,False,False,False,False
