id_nivel,id_espectro,configuracion,termino,j_valor,j_texto,j_resuelto,g,energia_ev,energia_interpolada,incertidumbre_ev
001001.001.000070,1,13,,,,,338,13.51797128,True,1.1e-07
001001.001.000071,1,14,,,,,392,13.52905552,True,1.1e-07
001001.001.000072,1,15,,,,,450,13.53799772,True,1.1e-07
001001.001.000073,1,16,,,,,512,13.54531624,True,1.2e-07
001001.001.000074,1,17,,,,,578,13.55138166,True,1.2e-07
001001.001.000075,1,18,,,,,648,13.55646454,True,1.2e-07
001001.001.000076,1,19,,,,,722,13.56076619,True,1.2e-07
001001.001.000077,1,20,,,,,800,13.56443886,True,1.2e-07
001001.001.000078,1,21,,,,,882,13.56759946,True,1.2e-07
001001.001.000079,1,22,,,,,968,13.57033894,True,1.2e-07
001001.001.000080,1,23,,,,,1058,13.57272894,True,1.2e-07
001001.001.000081,1,24,,,,,1152,13.57482645,True,1.2e-07
001001.001.000082,1,25,,,,,1250,13.57667733,True,1.2e-07
001001.001.000083,1,26,,,,,1352,13.57831878,True,1.2e-07
001001.001.000084,1,27,,,,,1458,13.57978125,True,1.2e-07
001001.001.000085,1,28,,,,,1568,13.58108984,True,1.2e-07
001001.001.000086,1,29,,,,,1682,13.58226541,True,1.2e-07
001001.001.000087,1,30,,,,,1800,13.58332538,True,1.2e-07
001001.001.000088,1,31,,,,,1922,13.58428445,True,1.2e-07
001001.001.000089,1,32,,,,,2048,13.58515502,True,1.2e-07
001001.001.000090,1,33,,,,,2178,13.58594765,True,1.2e-07
001001.001.000091,1,34,,,,,2312,13.58667137,True,1.2e-07
001001.001.000092,1,35,,,,,2450,13.58733395,True,1.2e-07
001001.001.000093,1,36,,,,,2592,13.58794208,True,1.2e-07
001001.001.000094,1,37,,,,,2738,13.58850159,True,1.2e-07
001001.001.000095,1,38,,,,,2888,13.5890175,True,1.2e-07
001001.001.000096,1,39,,,,,3042,13.58949423,True,1.2e-07
001001.001.000097,1,40,,,,,3200,13.58993566,True,1.2e-07
001001.001.Lim001,1,,Limit,,---,False,,13.598434599702,False,1.2e-11
002001.000001,2,1s2,1S,0.0,0,True,1,0.0,True,1.5e-07
