Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Level ID,Reference
"=""2s.2p.(3P*).7p""","=""2P""","=""3/2""",4,"=""""","=""29.618""","=""""","=""0.004""","=""""","=""  96         :     2  2s.2p.(3P*).7p        4D   ""","=""006002.000289""","=""L22145"""
"=""2s.2p.(3P*).7p""","=""2D""","=""3/2""",4,"=""""","=""29.668""","=""""","=""0.004""","=""""","=""  96                                             ""","=""006002.000290""","=""L22145"""
"=""2s.2p.(3P*).7p""","=""2D""","=""5/2""",6,"=""""","=""29.673""","=""""","=""0.004""","=""""","=""  96                                             ""","=""006002.000291""","=""L22145"""
"=""2s.2p.(3P*).7d""","=""4D*""","=""1/2""",2,"=""""","=""29.737""","=""""","=""0.003""","=""""","=""  98                                             ""","=""006002.000368""","=""L22145"""
"=""2s.2p.(3P*).7d""","=""4D*""","=""3/2""",4,"=""""","=""29.737""","=""""","=""0.003""","=""""","=""  69         :    26  2s.2p.(3P*).7d        2D*  ""","=""006002.000352""","=""L22145"""
"=""2s.2p.(3P*).7d""","=""4D*""","=""5/2""",6,"=""""","=""29.738""","=""""","=""0.003""","=""""","=""  60         :    25  2s.2p.(3P*).7d        2D*  ""","=""006002.000320""","=""L22145"""
"=""2s.2p.(3P*).7d""","=""4D*""","=""7/2""",8,"=""""","=""29.740""","=""""","=""0.003""","=""""","=""  97         :     3  2s.2p.(3P*).7d        4F*  ""","=""006002.000283""","=""L22145"""
"=""2s.2p.(3P*).7d""","=""4P*""","=""5/2""",6,"=""""","=""29.737""","=""""","=""0.003""","=""""","=""  87         :    10  2s.2p.(3P*).7d        4D*  ""","=""006002.000287""","=""L22145"""
"=""2s.2p.(3P*).7d""","=""4P*""","=""3/2""",4,"=""""","=""29.740""","=""""","=""0.003""","=""""","=""  94         :     5  2s.2p.(3P*).7d        4D*  ""","=""006002.000276""","=""L22145"""
"=""2s.2p.(3P*).7d""","=""4P*""","=""1/2""",2,"=""""","=""29.741""","=""""","=""0.003""","=""""","=""  98                                             ""","=""006002.000282""","=""L22145"""
"=""2s.2p.(3P*).8p""","=""2P""","=""1/2""",2,"=""""","=""29.927""","=""""","=""0.004""","=""""","=""  91         :     8  2s.2p.(3P*).8p        4D   ""","=""006002.000294""","=""L22145"""
