Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Level ID,Reference
"=""2p3""","=""2D*""","=""5/2""",6,"=""""","=""18.654858""","=""""","=""0.000009""","=""(1.2004)""","=""  92         :     6  2s.2p.(3P*).3d        2D*  ""","=""006002.000017""","=""L22145,L15072"""
"=""2p3""","=""2D*""","=""3/2""",4,"=""""","=""18.655493""","=""""","=""0.000006""","=""(0.7995)""","=""  92         :     6  2s.2p.(3P*).3d        2D*  ""","=""006002.000018""","=""L22145,L15072"""
"=""2s2.4s""","=""2S""","=""1/2""",2,"=""""","=""19.494538""","=""""","=""0.000004""","=""(2.0023)""","=""  94         :     5  2p2.(1S).4s           2S   ""","=""006002.000019""","=""L22145,L15072"""
"=""2s2.4p""","=""2P*""","=""1/2""",2,"=""""","=""20.149652""","=""""","=""0.000005""","=""(0.6659)""","=""  90         :     5  2p2.(1S).4p           2P*  ""","=""006002.000020""","=""L22145,L15072"""
"=""2s2.4p""","=""2P*""","=""3/2""",4,"=""""","=""20.150477""","=""""","=""0.000004""","=""(1.3341)""","=""  90         :     5  2p2.(1S).4p           2P*  ""","=""006002.000021""","=""L22145,L15072"""
"=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""",2,"=""""","=""20.701289""","=""""","=""0.000006""","=""(2.6704)""","=""  98                                             ""","=""006002.000022""","=""L22145,L15072"""
"=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""",4,"=""""","=""20.704213""","=""""","=""0.000006""","=""(1.7349)""","=""  98                                             ""","=""006002.000023""","=""L22145,L15072"""
"=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""",6,"=""""","=""20.709791""","=""""","=""0.000006""","=""(1.6013)""","=""  98                                             ""","=""006002.000024""","=""L22145,L15072"""
"=""2s2.4d""","=""2D""","=""3/2""",4,"=""""","=""20.844740""","=""""","=""0.000014""","=""""","=""  94         :     5  2p2.(1S).4d           2D   ""","=""006002.000025""","=""L22145"""
"=""2s2.4d""","=""2D""","=""5/2""",6,"=""""","=""20.844765""","=""""","=""0.000014""","=""""","=""  94         :     5  2p2.(1S).4d           2D   ""","=""006002.000026""","=""L22145"""
"=""2p3""","=""2P*""","=""1/2""",2,"=""""","=""20.919793""","=""""","=""0.000005""","=""(0.6658)""","=""  63         :    27  2s.2p.(3P*).3s        2P*  ""","=""006002.000027""","=""L22145,L15072"""
"=""2p3""","=""2P*""","=""3/2""",4,"=""""","=""20.922118""","=""""","=""0.000004""","=""(1.3340)""","=""  63         :    27  2s.2p.(3P*).3s        2P*  ""","=""006002.000028""","=""L22145,L15072"""
"=""2s2.4f""","=""2F*""","=""5/2""",6,"=""""","=""20.950632""","=""""","=""0.000006""","=""""","=""  94         :     6  2p2.(1S).4f           2F*  ""","=""006002.000029""","=""L22145"""
"=""2s2.4f""","=""2F*""","=""7/2""",8,"=""""","=""20.950654""","=""""","=""0.000005""","=""""","=""  94         :     6  2p2.(1S).4f           2F*  ""","=""006002.000030""","=""L22145"""
"=""2s2.5s""","=""2S""","=""1/2""",2,"=""""","=""21.492405""","=""""","=""0.000016""","=""""","=""  94         :     5  2p2.(1S).5s           2S   ""","=""006002.000031""","=""L22145"""
"=""2s2.5p""","=""2P*""","=""1/2""",2,"=""""","=""21.732863""","=""""","=""0.000005""","=""""","=""  49         :    26  2s.2p.(3P*).3s        2P*  ""","=""006002.000032""","=""L22145"""
"=""2s2.5p""","=""2P*""","=""3/2""",4,"=""""","=""21.733778""","=""""","=""0.000005""","=""""","=""  50         :    26  2s.2p.(3P*).3s        2P*  ""","=""006002.000033""","=""L22145"""
"=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""",2,"=""""","=""22.041235""","=""""","=""0.000007""","=""""","=""  37         :    44  2s2.5p                2P*  ""","=""006002.000034""","=""L22145"""
"=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""",4,"=""""","=""22.043587""","=""""","=""0.000006""","=""""","=""  37         :    44  2s2.5p                2P*  ""","=""006002.000035""","=""L22145"""
"=""2s2.5d""","=""2D""","=""3/2""",4,"=""""","=""22.130595""","=""""","=""0.000006""","=""""","=""  94         :     5  2p2.(1S).5d           2D   ""","=""006002.000036""","=""L22145"""
"=""2s2.5d""","=""2D""","=""5/2""",6,"=""""","=""22.130626""","=""""","=""0.000012""","=""""","=""  94         :     5  2p2.(1S).5d           2D   ""","=""006002.000037""","=""L22145"""
"=""2s2.5f""","=""2F*""","=""5/2""",6,"=""""","=""22.187763""","=""""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).5f           2F*  ""","=""006002.000038""","=""L22145"""
"=""2s2.5f""","=""2F*""","=""7/2""",8,"=""""","=""22.187773""","=""""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).5f           2F*  ""","=""006002.000039""","=""L22145"""
"=""2s2.5g""","=""2G""","=""7/2""",8,"=""""","=""22.202225""","=""""","=""0.000009""","=""""","=""  95         :     5  2p2.(1S).5g           2G   ""","=""006002.000040""","=""L22145"""
"=""2s2.5g""","=""2G""","=""9/2""",10,"=""""","=""22.202234""","=""""","=""0.000009""","=""""","=""  95         :     5  2p2.(1S).5g           2G   ""","=""006002.000041""","=""L22145"""
"=""2s2.6s""","=""2S""","=""1/2""",2,"=""""","=""22.473900""","=""""","=""0.000010""","=""""","=""  94         :     5  2p2.(1S).6s           2S   ""","=""006002.000042""","=""L22145"""
"=""2s.2p.(3P*).3p""","=""4D""","=""1/2""",2,"=""""","=""22.527518""","=""""","=""0.000006""","=""""","=""  91         :     8  2s.2p.(3P*).3p        2P   ""","=""006002.000043""","=""L22145"""
"=""2s.2p.(3P*).3p""","=""4D""","=""3/2""",4,"=""""","=""22.529299""","=""""","=""0.000006""","=""""","=""  95         :     4  2s.2p.(3P*).3p        2P   ""","=""006002.000044""","=""L22145"""
"=""2s.2p.(3P*).3p""","=""4D""","=""5/2""",6,"=""""","=""22.532400""","=""""","=""0.000006""","=""""","=""  99                                             ""","=""006002.000045""","=""L22145"""
"=""2s.2p.(3P*).3p""","=""4D""","=""7/2""",8,"=""""","=""22.536905""","=""""","=""0.000006""","=""""","=""  99                                             ""","=""006002.000046""","=""L22145"""
"=""2s.2p.(3P*).3p""","=""2P""","=""1/2""",2,"=""""","=""22.568086""","=""""","=""0.000005""","=""""","=""  88         :     8  2s.2p.(3P*).3p        4D   ""","=""006002.000047""","=""L22145"""
"=""2s.2p.(3P*).3p""","=""2P""","=""3/2""",4,"=""""","=""22.570504""","=""""","=""0.000004""","=""""","=""  93         :     4  2s.2p.(3P*).3p        4D   ""","=""006002.000048""","=""L22145"""
"=""2s2.6p""","=""2P*""","=""1/2""",2,"=""""","=""22.688229""","=""""","=""0.000022""","=""""","=""  92         :     5  2p2.(1S).6p           2P*  ""","=""006002.000049""","=""L22145"""
"=""2s2.6p""","=""2P*""","=""3/2""",4,"=""""","=""22.688255""","=""""","=""0.000019""","=""""","=""  92         :     5  2p2.(1S).6p           2P*  ""","=""006002.000050""","=""L22145"""
"=""2s2.6d""","=""2D""","=""3/2""",4,"=""""","=""22.822350""","=""""","=""0.000024""","=""""","=""  94         :     5  2p2.(1S).6d           2D   ""","=""006002.000051""","=""L22145"""
"=""2s2.6d""","=""2D""","=""5/2""",6,"=""""","=""22.822436""","=""""","=""0.000019""","=""""","=""  94         :     5  2p2.(1S).6d           2D   ""","=""006002.000052""","=""L22145"""
"=""2s2.6f""","=""2F*""","=""5/2""",6,"=""""","=""22.859729""","=""""","=""0.000015""","=""""","=""  94         :     6  2p2.(1S).6f           2F*  ""","=""006002.000053""","=""L22145"""
"=""2s2.6f""","=""2F*""","=""7/2""",8,"=""""","=""22.859734""","=""""","=""0.000015""","=""""","=""  94         :     6  2p2.(1S).6f           2F*  ""","=""006002.000054""","=""L22145"""
"=""2s2.6g""","=""2G""","=""7/2""",8,"=""""","=""22.868823""","=""""","=""0.000014""","=""""","=""  95         :     5  2p2.(1S).6g           2G   ""","=""006002.000055""","=""L22145"""
"=""2s2.6g""","=""2G""","=""9/2""",10,"=""""","=""22.868828""","=""""","=""0.000014""","=""""","=""  95         :     5  2p2.(1S).6g           2G   ""","=""006002.000056""","=""L22145"""
"=""2s2.6h""","=""2H*""","=""9/2""",10,"=""[""","=""22.870635""","=""]""","=""0.000017""","=""""","=""  94         :     6  2p2.(1S).6h           2H*  ""","=""006002.000057""","=""L22145"""
"=""2s2.6h""","=""2H*""","=""11/2""",12,"=""[""","=""22.870635""","=""]""","=""0.000017""","=""""","=""  94         :     6  2p2.(1S).6h           2H*  ""","=""006002.000058""","=""L22145"""
"=""2s.2p.(3P*).3p""","=""4S""","=""3/2""",4,"=""""","=""22.898766""","=""""","=""0.000006""","=""""","="" 100                                             ""","=""006002.000059""","=""L22145"""
"=""2s2.7s""","=""2S""","=""1/2""",2,"=""""","=""23.027948""","=""""","=""0.000020""","=""""","=""  94         :     5  2p2.(1S).7s           2S   ""","=""006002.000060""","=""L22145"""
"=""2s.2p.(3P*).3p""","=""4P""","=""1/2""",2,"=""""","=""23.114048""","=""""","=""0.000006""","=""""","="" 100                                             ""","=""006002.000061""","=""L22145"""
"=""2s.2p.(3P*).3p""","=""4P""","=""3/2""",4,"=""""","=""23.116074""","=""""","=""0.000006""","=""""","="" 100                                             ""","=""006002.000062""","=""L22145"""
"=""2s.2p.(3P*).3p""","=""4P""","=""5/2""",6,"=""""","=""23.118841""","=""""","=""0.000006""","=""""","="" 100                                             ""","=""006002.000063""","=""L22145"""
"=""2s2.7p""","=""2P*""","=""1/2""",2,"=""""","=""23.15347""","=""""","=""0.00006""","=""""","=""  94         :     6  2p2.(1S).7p           2P*  ""","=""006002.000064""","=""L22145"""
"=""2s2.7p""","=""2P*""","=""3/2""",4,"=""""","=""23.15359""","=""""","=""0.00003""","=""""","=""  94         :     6  2p2.(1S).7p           2P*  ""","=""006002.000065""","=""L22145"""
"=""2s2.7d""","=""2D""","=""3/2""",4,"=""""","=""23.22886""","=""""","=""0.00005""","=""""","=""  88         :     6  2s.2p.(3P*).3p        2D   ""","=""006002.000066""","=""L22145"""
"=""2s2.7d""","=""2D""","=""5/2""",6,"=""""","=""23.22886""","=""""","=""0.00005""","=""""","=""  89         :     6  2s.2p.(3P*).3p        2D   ""","=""006002.000067""","=""L22145"""
"=""2s2.7f""","=""2F*""","=""5/2""",6,"=""""","=""23.264628""","=""""","=""0.000022""","=""""","=""  94         :     6  2p2.(1S).7f           2F*  ""","=""006002.000068""","=""L22145"""
"=""2s2.7f""","=""2F*""","=""7/2""",8,"=""""","=""23.264631""","=""""","=""0.000022""","=""""","=""  94         :     6  2p2.(1S).7f           2F*  ""","=""006002.000069""","=""L22145"""
"=""2s2.7g""","=""2G""","=""7/2""",8,"=""""","=""23.270759""","=""""","=""0.000016""","=""""","=""  95         :     5  2p2.(1S).7g           2G   ""","=""006002.000070""","=""L22145"""
"=""2s2.7g""","=""2G""","=""9/2""",10,"=""""","=""23.270763""","=""""","=""0.000016""","=""""","=""  95         :     5  2p2.(1S).7g           2G   ""","=""006002.000071""","=""L22145"""
"=""2s2.7h""","=""2H*""","=""9/2""",10,"=""[""","=""23.271946""","=""]""","=""0.000015""","=""""","=""  94         :     6  2p2.(1S).7h           2H*  ""","=""006002.000072""","=""L22145"""
"=""2s2.7h""","=""2H*""","=""11/2""",12,"=""[""","=""23.271946""","=""]""","=""0.000015""","=""""","=""  94         :     6  2p2.(1S).7h           2H*  ""","=""006002.000073""","=""L22145"""
"=""2s2.7i""","=""2I""","=""11/2""",12,"=""[""","=""23.272303""","=""]""","=""0.000014""","=""""","=""  94         :     6  2p2.(1S).7i           2I   ""","=""006002.000398""","=""L22145"""
"=""2s2.7i""","=""2I""","=""13/2""",14,"=""[""","=""23.272303""","=""]""","=""0.000014""","=""""","=""  94         :     6  2p2.(1S).7i           2I   ""","=""006002.000399""","=""L22145"""
"=""2s2.8s""","=""2S""","=""1/2""",2,"=""[""","=""23.37158""","=""]""","=""0.00003""","=""""","=""  94         :     5  2p2.(1S).8s           2S   ""","=""006002.000432""","=""L22145"""
"=""2s.2p.(3P*).3p""","=""2D""","=""3/2""",4,"=""""","=""23.381096""","=""""","=""0.000006""","=""""","=""  79         :    10  2s2.8d                2D   ""","=""006002.000074""","=""L22145"""
"=""2s.2p.(3P*).3p""","=""2D""","=""5/2""",6,"=""""","=""23.385281""","=""""","=""0.000010""","=""""","=""  78         :    11  2s2.8d                2D   ""","=""006002.000075""","=""L22145"""
"=""2s2.8f""","=""2F*""","=""5/2""",6,"=""""","=""23.527470""","=""""","=""0.000011""","=""""","=""  94         :     6  2p2.(1S).8f           2F*  ""","=""006002.000208""","=""L22145"""
"=""2s2.8f""","=""2F*""","=""7/2""",8,"=""""","=""23.527471""","=""""","=""0.000011""","=""""","=""  94         :     6  2p2.(1S).8f           2F*  ""","=""006002.000209""","=""L22145"""
"=""2s2.8g""","=""2G""","=""7/2""",8,"=""""","=""23.531602""","=""""","=""0.000012""","=""""","=""  95         :     5  2p2.(1S).8g           2G   ""","=""006002.000076""","=""L22145"""
"=""2s2.8g""","=""2G""","=""9/2""",10,"=""""","=""23.531603""","=""""","=""0.000012""","=""""","=""  95         :     5  2p2.(1S).8g           2G   ""","=""006002.000077""","=""L22145"""
"=""2s2.8h""","=""2H*""","=""9/2""",10,"=""""","=""23.532439""","=""""","=""0.000009""","=""""","=""  94         :     6  2p2.(1S).8h           2H*  ""","=""006002.000210""","=""L22145"""
"=""2s2.8h""","=""2H*""","=""11/2""",12,"=""""","=""23.532440""","=""""","=""0.000009""","=""""","=""  94         :     6  2p2.(1S).8h           2H*  ""","=""006002.000211""","=""L22145"""
"=""2s2.8i""","=""2I""","=""11/2""",12,"=""[""","=""23.532663""","=""]""","=""0.000014""","=""""","=""  94         :     6  2p2.(1S).8i           2I   ""","=""006002.000400""","=""L22145"""
"=""2s2.8i""","=""2I""","=""13/2""",14,"=""[""","=""23.532663""","=""]""","=""0.000014""","=""""","=""  94         :     6  2p2.(1S).8i           2I   ""","=""006002.000401""","=""L22145"""
"=""2s2.8k""","=""2K*""","=""13/2""",14,"=""[""","=""23.532754""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).8k           2K*  ""","=""006002.000416""","=""L22145"""
"=""2s2.8k""","=""2K*""","=""15/2""",16,"=""[""","=""23.532754""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).8k           2K*  ""","=""006002.000417""","=""L22145"""
"=""2s2.8d""","=""2D""","=""3/2""",4,"=""""","=""23.5332""","=""""","=""0.0022""","=""""","=""  84         :     9  2s.2p.(3P*).3p        2D   ""","=""006002.000258""","=""L22145"""
"=""2s2.8d""","=""2D""","=""5/2""",6,"=""""","=""23.5337""","=""""","=""0.0022""","=""""","=""  84         :    10  2s.2p.(3P*).3p        2D   ""","=""006002.000259""","=""L22145"""
"=""2s2.9s""","=""2S""","=""1/2""",2,"=""[""","=""23.59933""","=""]""","=""0.00004""","=""""","=""  94         :     5  2p2.(1S).9s           2S   ""","=""006002.000433""","=""L22145"""
"=""2s2.9d""","=""2D""","=""3/2""",4,"=""""","=""23.7070""","=""""","=""0.0023""","=""""","=""  93         :     5  2p2.(1S).9d           2D   ""","=""006002.000260""","=""L22145"""
"=""2s2.9d""","=""2D""","=""5/2""",6,"=""""","=""23.7071""","=""""","=""0.0023""","=""""","=""  93         :     5  2p2.(1S).9d           2D   ""","=""006002.000261""","=""L22145"""
"=""2s2.9f""","=""2F*""","=""5/2""",6,"=""""","=""23.707425""","=""""","=""0.000021""","=""""","=""  94         :     6  2p2.(1S).9f           2F*  ""","=""006002.000212""","=""L22145"""
"=""2s2.9f""","=""2F*""","=""7/2""",8,"=""""","=""23.707426""","=""""","=""0.000021""","=""""","=""  94         :     6  2p2.(1S).9f           2F*  ""","=""006002.000213""","=""L22145"""
"=""2s2.9g""","=""2G""","=""7/2""",8,"=""""","=""23.710396""","=""""","=""0.000012""","=""""","=""  95         :     5  2p2.(1S).9g           2G   ""","=""006002.000214""","=""L22145"""
"=""2s2.9g""","=""2G""","=""9/2""",10,"=""""","=""23.710397""","=""""","=""0.000012""","=""""","=""  95         :     5  2p2.(1S).9g           2G   ""","=""006002.000215""","=""L22145"""
"=""2s2.9h""","=""2H*""","=""9/2""",10,"=""[""","=""23.710987""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).9h           2H*  ""","=""006002.000216""","=""L22145"""
"=""2s2.9h""","=""2H*""","=""11/2""",12,"=""[""","=""23.710987""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).9h           2H*  ""","=""006002.000217""","=""L22145"""
"=""2s2.9i""","=""2I""","=""11/2""",12,"=""[""","=""23.711166""","=""]""","=""0.000014""","=""""","=""  94         :     6  2p2.(1S).9i           2I   ""","=""006002.000402""","=""L22145"""
"=""2s2.9i""","=""2I""","=""13/2""",14,"=""[""","=""23.711166""","=""]""","=""0.000014""","=""""","=""  94         :     6  2p2.(1S).9i           2I   ""","=""006002.000403""","=""L22145"""
"=""2s2.9k""","=""2K*""","=""13/2""",14,"=""[""","=""23.711233""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).9k           2K*  ""","=""006002.000418""","=""L22145"""
"=""2s2.9k""","=""2K*""","=""15/2""",16,"=""[""","=""23.711233""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).9k           2K*  ""","=""006002.000419""","=""L22145"""
"=""2s2.10d""","=""2D""","=""3/2""",4,"=""""","=""23.8341""","=""""","=""0.0023""","=""""","=""  94         :     5  2p2.(1S).10d          2D   ""","=""006002.000262""","=""L22145"""
"=""2s2.10d""","=""2D""","=""5/2""",6,"=""""","=""23.8342""","=""""","=""0.0023""","=""""","=""  94         :     5  2p2.(1S).10d          2D   ""","=""006002.000263""","=""L22145"""
"=""2s2.10f""","=""2F*""","=""5/2""",6,"=""[""","=""23.836096""","=""]""","=""0.000016""","=""""","=""  94         :     6  2p2.(1S).10f          2F*  ""","=""006002.000382""","=""L22145"""
"=""2s2.10f""","=""2F*""","=""7/2""",8,"=""[""","=""23.836096""","=""]""","=""0.000016""","=""""","=""  94         :     6  2p2.(1S).10f          2F*  ""","=""006002.000383""","=""L22145"""
"=""2s2.10g""","=""2G""","=""7/2""",8,"=""""","=""23.838287""","=""""","=""0.000012""","=""""","=""  95         :     5  2p2.(1S).10g          2G   ""","=""006002.000218""","=""L22145"""
"=""2s2.10g""","=""2G""","=""9/2""",10,"=""""","=""23.838288""","=""""","=""0.000012""","=""""","=""  95         :     5  2p2.(1S).10g          2G   ""","=""006002.000219""","=""L22145"""
"=""2s2.10h""","=""2H*""","=""9/2""",10,"=""""","=""23.838734""","=""""","=""0.000010""","=""""","=""  94         :     6  2p2.(1S).10h          2H*  ""","=""006002.000220""","=""L22145"""
"=""2s2.10h""","=""2H*""","=""11/2""",12,"=""""","=""23.838736""","=""""","=""0.000010""","=""""","=""  94         :     6  2p2.(1S).10h          2H*  ""","=""006002.000221""","=""L22145"""
"=""2s2.10i""","=""2I""","=""11/2""",12,"=""[""","=""23.838849""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).10i          2I   ""","=""006002.000404""","=""L22145"""
"=""2s2.10i""","=""2I""","=""13/2""",14,"=""[""","=""23.838849""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).10i          2I   ""","=""006002.000405""","=""L22145"""
"=""2s2.10k""","=""2K*""","=""13/2""",14,"=""[""","=""23.838898""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).10k          2K*  ""","=""006002.000420""","=""L22145"""
"=""2s2.10k""","=""2K*""","=""15/2""",16,"=""[""","=""23.838898""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).10k          2K*  ""","=""006002.000421""","=""L22145"""
"=""2s2.11d""","=""2D""","=""3/2""",4,"=""""","=""23.9284""","=""""","=""0.0023""","=""""","=""  94         :     5  2p2.(1S).11d          2D   ""","=""006002.000264""","=""L22145"""
"=""2s2.11d""","=""2D""","=""5/2""",6,"=""""","=""23.9284""","=""""","=""0.0023""","=""""","=""  94         :     5  2p2.(1S).11d          2D   ""","=""006002.000265""","=""L22145"""
"=""2s2.11f""","=""2F*""","=""5/2""",6,"=""""","=""23.93119""","=""""","=""0.00003""","=""""","=""  94         :     6  2p2.(1S).11f          2F*  ""","=""006002.000230""","=""L22145"""
"=""2s2.11f""","=""2F*""","=""7/2""",8,"=""""","=""23.93119""","=""""","=""0.00003""","=""""","=""  94         :     6  2p2.(1S).11f          2F*  ""","=""006002.000231""","=""L22145"""
"=""2s2.11g""","=""2G""","=""7/2""",8,"=""""","=""23.932878""","=""""","=""0.000017""","=""""","=""  95         :     5  2p2.(1S).11g          2G   ""","=""006002.000240""","=""L22145"""
"=""2s2.11g""","=""2G""","=""9/2""",10,"=""""","=""23.932879""","=""""","=""0.000017""","=""""","=""  95         :     5  2p2.(1S).11g          2G   ""","=""006002.000239""","=""L22145"""
"=""2s2.11h""","=""2H*""","=""9/2""",10,"=""[""","=""23.933217""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).11h          2H*  ""","=""006002.000254""","=""L22145"""
"=""2s2.11h""","=""2H*""","=""11/2""",12,"=""[""","=""23.933217""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).11h          2H*  ""","=""006002.000256""","=""L22145"""
"=""2s2.11i""","=""2I""","=""11/2""",12,"=""[""","=""23.933317""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).11i          2I   ""","=""006002.000406""","=""L22145"""
"=""2s2.11i""","=""2I""","=""13/2""",14,"=""[""","=""23.933317""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).11i          2I   ""","=""006002.000407""","=""L22145"""
"=""2s2.11k""","=""2K*""","=""13/2""",14,"=""[""","=""23.933355""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).11k          2K*  ""","=""006002.000422""","=""L22145"""
"=""2s2.11k""","=""2K*""","=""15/2""",16,"=""[""","=""23.933355""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).11k          2K*  ""","=""006002.000423""","=""L22145"""
"=""2s2.12d""","=""2D""","=""3/2""",4,"=""""","=""24.0029""","=""""","=""0.0016""","=""""","=""  94         :     5  2p2.(1S).12d          2D   ""","=""006002.000266""","=""L22145"""
"=""2s2.12d""","=""2D""","=""5/2""",6,"=""""","=""24.0029""","=""""","=""0.0016""","=""""","=""  94         :     5  2p2.(1S).12d          2D   ""","=""006002.000267""","=""L22145"""
"=""2s2.12f""","=""2F*""","=""5/2""",6,"=""""","=""24.00349""","=""""","=""0.00008""","=""""","=""  94         :     6  2p2.(1S).12f          2F*  ""","=""006002.000222""","=""L22145"""
"=""2s2.12f""","=""2F*""","=""7/2""",8,"=""""","=""24.00349""","=""""","=""0.00008""","=""""","=""  94         :     6  2p2.(1S).12f          2F*  ""","=""006002.000223""","=""L22145"""
"=""2s2.12g""","=""2G""","=""7/2""",8,"=""""","=""24.004847""","=""""","=""0.000017""","=""""","=""  95         :     5  2p2.(1S).12g          2G   ""","=""006002.000246""","=""L22145"""
"=""2s2.12g""","=""2G""","=""9/2""",10,"=""""","=""24.004847""","=""""","=""0.000017""","=""""","=""  95         :     5  2p2.(1S).12g          2G   ""","=""006002.000245""","=""L22145"""
"=""2s2.12h""","=""2H*""","=""9/2""",10,"=""[""","=""24.005090""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).12h          2H*  ""","=""006002.000390""","=""L22145"""
"=""2s2.12h""","=""2H*""","=""11/2""",12,"=""[""","=""24.005090""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).12h          2H*  ""","=""006002.000391""","=""L22145"""
"=""2s2.12i""","=""2I""","=""11/2""",12,"=""[""","=""24.005168""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).12i          2I   ""","=""006002.000408""","=""L22145"""
"=""2s2.12i""","=""2I""","=""13/2""",14,"=""[""","=""24.005168""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).12i          2I   ""","=""006002.000409""","=""L22145"""
"=""2s2.12k""","=""2K*""","=""13/2""",14,"=""[""","=""24.005198""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).12k          2K*  ""","=""006002.000424""","=""L22145"""
"=""2s2.12k""","=""2K*""","=""15/2""",16,"=""[""","=""24.005198""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).12k          2K*  ""","=""006002.000425""","=""L22145"""
"=""2s2.13f""","=""2F*""","=""5/2""",6,"=""[""","=""24.059804""","=""]""","=""0.000014""","=""""","=""  94         :     6  2p2.(1S).13f          2F*  ""","=""006002.000233""","=""L22145"""
"=""2s2.13f""","=""2F*""","=""7/2""",8,"=""[""","=""24.059804""","=""]""","=""0.000014""","=""""","=""  94         :     6  2p2.(1S).13f          2F*  ""","=""006002.000234""","=""L22145"""
"=""2s2.13g""","=""2G""","=""7/2""",8,"=""[""","=""24.060822""","=""]""","=""0.000009""","=""""","=""  95         :     5  2p2.(1S).13g          2G   ""","=""006002.000386""","=""L22145"""
"=""2s2.13g""","=""2G""","=""9/2""",10,"=""[""","=""24.060822""","=""]""","=""0.000009""","=""""","=""  95         :     5  2p2.(1S).13g          2G   ""","=""006002.000387""","=""L22145"""
"=""2s2.13h""","=""2H*""","=""9/2""",10,"=""[""","=""24.061022""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).13h          2H*  ""","=""006002.000392""","=""L22145"""
"=""2s2.13h""","=""2H*""","=""11/2""",12,"=""[""","=""24.061022""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).13h          2H*  ""","=""006002.000393""","=""L22145"""
"=""2s2.13i""","=""2I""","=""11/2""",12,"=""[""","=""24.061085""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).13i          2I   ""","=""006002.000410""","=""L22145"""
"=""2s2.13i""","=""2I""","=""13/2""",14,"=""[""","=""24.061085""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).13i          2I   ""","=""006002.000411""","=""L22145"""
"=""2s2.13k""","=""2K*""","=""13/2""",14,"=""[""","=""24.061109""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).13k          2K*  ""","=""006002.000426""","=""L22145"""
"=""2s2.13k""","=""2K*""","=""15/2""",16,"=""[""","=""24.061109""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).13k          2K*  ""","=""006002.000427""","=""L22145"""
"=""2s2.14f""","=""2F*""","=""5/2""",6,"=""""","=""24.10424""","=""""","=""0.00008""","=""""","=""  94         :     6  2p2.(1S).14f          2F*  ""","=""006002.000236""","=""L22145"""
"=""2s2.14f""","=""2F*""","=""7/2""",8,"=""""","=""24.10424""","=""""","=""0.00008""","=""""","=""  94         :     6  2p2.(1S).14f          2F*  ""","=""006002.000237""","=""L22145"""
"=""2s2.14g""","=""2G""","=""7/2""",8,"=""""","=""24.10527""","=""""","=""0.00003""","=""""","=""  95         :     5  2p2.(1S).14g          2G   ""","=""006002.000252""","=""L22145"""
"=""2s2.14g""","=""2G""","=""9/2""",10,"=""""","=""24.10527""","=""""","=""0.00003""","=""""","=""  95         :     5  2p2.(1S).14g          2G   ""","=""006002.000229""","=""L22145"""
"=""2s2.14h""","=""2H*""","=""9/2""",10,"=""[""","=""24.105402""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).14h          2H*  ""","=""006002.000394""","=""L22145"""
"=""2s2.14h""","=""2H*""","=""11/2""",12,"=""[""","=""24.105402""","=""]""","=""0.000012""","=""""","=""  94         :     6  2p2.(1S).14h          2H*  ""","=""006002.000395""","=""L22145"""
