Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Level ID,Reference
"=""2s2.2p.(2P*<3/2>).9p""","=""2[5/2]""","=""3""",7,"=""""","=""11.071681""","=""""","=""0.000005""","=""""","=""  98                                                ""","=""006001.000203""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).9p""","=""2[5/2]""","=""2""",5,"=""""","=""11.078002""","=""""","=""0.000005""","=""""","=""  60         :    11  2s2.2p.(2P*<3/2>).9p  2[3/2]  ""","=""006001.000204""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).9p""","=""2[1/2]""","=""0""",1,"=""""","=""11.081910""","=""""","=""0.000005""","=""""","=""  37         :    22  2s2.2p.(2P*<3/2>).10p 2[1/2]  ""","=""006001.000205""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).9d""","=""2[5/2]*""","=""2""",5,"=""""","=""11.088092""","=""""","=""0.000005""","=""""","=""  76         :    19  2s2.2p.(2P*<1/2>).9d  2[3/2]* ""","=""006001.000206""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).9d""","=""2[5/2]*""","=""3""",7,"=""""","=""11.090330""","=""""","=""0.000024""","=""""","=""  99                                                ""","=""006001.000208""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).9d""","=""2[3/2]*""","=""2""",5,"=""""","=""11.09021""","=""""","=""0.00021""","=""""","=""  73         :    23  2s2.2p.(2P*<1/2>).9d  2[5/2]* ""","=""006001.000207""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).9d""","=""2[3/2]*""","=""1""",3,"=""""","=""11.091149""","=""""","=""0.000020""","=""""","=""  50         :    48  2s2.2p.(2P*<1/2>).10s 2[1/2]* ""","=""006001.000210""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).10s""","=""2[1/2]*""","=""0""",1,"=""""","=""11.09021""","=""""","=""0.00021""","=""""","=""  99                                                ""","=""006001.000327""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).10s""","=""2[1/2]*""","=""1""",3,"=""""","=""11.090616""","=""""","=""0.000006""","=""""","=""  50         :    48  2s2.2p.(2P*<1/2>).9d  2[3/2]* ""","=""006001.000209""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).9d""","=""2[7/2]*""","=""4""",9,"=""[""","=""11.097328""","=""]""","=""0.000011""","=""""","="" 100                                                ""","=""006001.000328""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).9d""","=""2[7/2]*""","=""3""",7,"=""""","=""11.098960""","=""""","=""0.000005""","=""""","=""  79         :    20  2s2.2p.(2P*<3/2>).9d  2[5/2]* ""","=""006001.000214""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).9d""","=""2[5/2]*""","=""2""",5,"=""""","=""11.097883""","=""""","=""0.000005""","=""""","=""  85         :     7  2s2.2p.(2P*<3/2>).9d  2[3/2]* ""","=""006001.000211""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).9d""","=""2[5/2]*""","=""3""",7,"=""""","=""11.09825""","=""""","=""0.00010""","=""""","=""  80         :    20  2s2.2p.(2P*<3/2>).9d  2[7/2]* ""","=""006001.000212""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).10s""","=""2[3/2]*""","=""1""",3,"=""""","=""11.098407""","=""""","=""0.000021""","=""""","=""  59         :    27  2s2.2p.(2P*<3/2>).9d  2[3/2]* ""","=""006001.000213""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",5,"=""""","=""11.09949""","=""""","=""0.00010""","=""""","=""  62         :    31  2s2.2p.(2P*<3/2>).10s 2[3/2]* ""","=""006001.000215""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",3,"=""""","=""11.099755""","=""""","=""0.000006""","=""""","=""  63         :    35  2s2.2p.(2P*<3/2>).10s 2[3/2]* ""","=""006001.000216""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).9d""","=""2[1/2]*""","=""1""",3,"=""""","=""11.09995""","=""""","=""0.00006""","=""""","=""  84         :     8  2s2.2p.(2P*<3/2>).9d  2[3/2]* ""","=""006001.000329""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).9d""","=""2[1/2]*""","=""0""",1,"=""""","=""11.10022""","=""""","=""0.00021""","=""""","=""  98                                                ""","=""006001.000330""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).10p""","=""2[3/2]""","=""1""",3,"=""""","=""11.103472""","=""""","=""0.000005""","=""""","=""  85         :    13  2s2.2p.(2P*<1/2>).10p 2[1/2]  ""","=""006001.000217""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).10p""","=""2[5/2]""","=""3""",7,"=""""","=""11.111599""","=""""","=""0.000005""","=""""","=""  99                                                ""","=""006001.000218""","=""L20057"""
