Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference
"=""1s.2p.3s""","=""4P*""","=""5/2""",6,"=""""","=""131.9306""","=""+x""","=""0.0009""","=""  96         :     2  1s.2p.3d            4P*  ""","=""004002.000111""","=""L12158"""
"=""1s.2p.3s""","=""4P*""","=""3/2""",4,"=""""","=""131.9306""","=""+x""","=""0.0009""","=""  96         :     2  1s.2p.3d            4P*  ""","=""004002.000110""","=""L12158"""
"=""1s.2s.(1S).3p""","=""2P*""","=""3/2""",4,"=""""","=""131.99""","=""a""","=""0.04""","=""  53         :    24  1s.2p.(3P*).3s      2P*  ""","=""004002.000113""","=""L12158"""
"=""1s.2s.(1S).3p""","=""2P*""","=""1/2""",2,"=""""","=""131.99""","=""a""","=""0.04""","=""  53         :    24  1s.2p.(3P*).3s      2P*  ""","=""004002.000112""","=""L12158"""
"=""1s.2s.4s""","=""4S""","=""3/2""",4,"=""""","=""132.314""","=""+x""","=""0.004""","=""  91         :     5  1s.2p.3p            4S   ""","=""004002.000114""","=""L12158"""
"=""1s.2s.(3S).4p""","=""2P*""","=""1/2""",2,"=""""","=""132.70""","=""a""","=""0.04""","=""  58         :    30  1s.2s.(1S).3p       2P*  ""","=""004002.000115""","=""L12158"""
"=""1s.2s.(3S).4p""","=""2P*""","=""3/2""",4,"=""""","=""132.70""","=""a""","=""0.04""","=""  58         :    30  1s.2s.(1S).3p       2P*  ""","=""004002.000116""","=""L12158"""
"=""1s.2p.3p""","=""4D""","=""7/2""",8,"=""""","=""132.7048""","=""+x""","=""0.0025""","=""  91         :     5  1s.2s.3d            4D   ""","=""004002.000120""","=""L12158"""
"=""1s.2p.3p""","=""4D""","=""1/2""",2,"=""""","=""132.7048""","=""+x""","=""0.0025""","=""  91         :     5  1s.2s.3d            4D   ""","=""004002.000117""","=""L12158"""
"=""1s.2p.3p""","=""4D""","=""3/2""",4,"=""""","=""132.7048""","=""+x""","=""0.0025""","=""  91         :     5  1s.2s.3d            4D   ""","=""004002.000118""","=""L12158"""
"=""1s.2p.3p""","=""4D""","=""5/2""",6,"=""""","=""132.7048""","=""+x""","=""0.0025""","=""  91         :     5  1s.2s.3d            4D   ""","=""004002.000119""","=""L12158"""
"=""1s.2p.(3P*).3p""","=""2P""","=""1/2""",2,"=""""","=""132.77""","=""""","=""0.06""","=""  95         :     4  1s.2p.(1P*).3p      2P   ""","=""004002.000121""","=""L12158"""
"=""1s.2p.(3P*).3p""","=""2P""","=""3/2""",4,"=""""","=""132.77""","=""""","=""0.06""","=""  95         :     4  1s.2p.(1P*).3p      2P   ""","=""004002.000122""","=""L12158"""
"=""1s.2s.4p""","=""4P*""","=""5/2""",6,"=""""","=""132.8689""","=""+x""","=""0.0009""","=""  96         :     2  1s.2p.3s            4P*  ""","=""004002.000125""","=""L12158"""
"=""1s.2s.4p""","=""4P*""","=""3/2""",4,"=""""","=""132.8689""","=""+x""","=""0.0009""","=""  96         :     2  1s.2p.3s            4P*  ""","=""004002.000124""","=""L12158"""
"=""1s.2s.4p""","=""4P*""","=""1/2""",2,"=""""","=""132.8689""","=""+x""","=""0.0009""","=""  96         :     2  1s.2p.3s            4P*  ""","=""004002.000123""","=""L12158"""
"=""1s.2s.4f""","=""4F*""","=""7/2""",8,"=""""","=""133.03492""","=""+x""","=""0.00010""","=""  66         :    33  1s.2p.3d            4F*  ""","=""004002.000128""","=""L12158"""
"=""1s.2s.4f""","=""4F*""","=""9/2""",10,"=""""","=""133.03492""","=""+x""","=""0.00010""","=""  66         :    33  1s.2p.3d            4F*  ""","=""004002.000129""","=""L12158"""
"=""1s.2s.4f""","=""4F*""","=""5/2""",6,"=""""","=""133.03492""","=""+x""","=""0.00010""","=""  66         :    33  1s.2p.3d            4F*  ""","=""004002.000127""","=""L12158"""
"=""1s.2s.4f""","=""4F*""","=""3/2""",4,"=""""","=""133.03492""","=""+x""","=""0.00010""","=""  66         :    33  1s.2p.3d            4F*  ""","=""004002.000126""","=""L12158"""
"=""1s.2p.(3P*).3s""","=""2P*""","=""3/2""",4,"=""""","=""133.08""","=""a""","=""0.07""","=""  46         :    21  1s.2p.(1P*).3s      2P*  ""","=""004002.000131""","=""L12158"""
"=""1s.2p.(3P*).3s""","=""2P*""","=""1/2""",2,"=""""","=""133.08""","=""a""","=""0.07""","=""  46         :    21  1s.2p.(1P*).3s      2P*  ""","=""004002.000130""","=""L12158"""
"=""1s.2s.(1S).3d""","=""2D""","=""3/2""",4,"=""""","=""133.10""","=""a""","=""0.06""","=""  58         :    18  1s.2s.(3S).4d       2D   ""","=""004002.000132""","=""L12158"""
"=""1s.2s.(1S).3d""","=""2D""","=""5/2""",6,"=""""","=""133.10""","=""a""","=""0.06""","=""  58         :    18  1s.2s.(3S).4d       2D   ""","=""004002.000133""","=""L12158"""
"=""1s.2p.3p""","=""4S""","=""3/2""",4,"=""""","=""133.1821""","=""+x?""","=""0.0025""","=""  85         :     7  1s.2s.4s            4S   ""","=""004002.000134""","=""L12158"""
"=""1s.2s.4d""","=""4D""","=""1/2""",2,"=""""","=""133.224""","=""+x""","=""0.004""","=""  97         :     3  1s.2p.3p            4D   ""","=""004002.000135""","=""L12158"""
"=""1s.2s.4d""","=""4D""","=""3/2""",4,"=""""","=""133.224""","=""+x""","=""0.004""","=""  97         :     3  1s.2p.3p            4D   ""","=""004002.000136""","=""L12158"""
"=""1s.2s.4d""","=""4D""","=""5/2""",6,"=""""","=""133.224""","=""+x""","=""0.004""","=""  97         :     3  1s.2p.3p            4D   ""","=""004002.000137""","=""L12158"""
"=""1s.2s.4d""","=""4D""","=""7/2""",8,"=""""","=""133.224""","=""+x""","=""0.004""","=""  97         :     3  1s.2p.3p            4D   ""","=""004002.000138""","=""L12158"""
"=""1s.2p.3p""","=""4P""","=""1/2""",2,"=""""","=""133.2344""","=""+x""","=""0.0025""","=""  99                                           ""","=""004002.000139""","=""L12158"""
"=""1s.2p.3p""","=""4P""","=""3/2""",4,"=""""","=""133.2344""","=""+x""","=""0.0025""","=""  99                                           ""","=""004002.000140""","=""L12158"""
"=""1s.2p.3p""","=""4P""","=""5/2""",6,"=""""","=""133.2344""","=""+x""","=""0.0025""","=""  99                                           ""","=""004002.000141""","=""L12158"""
"=""1s.2p.(3P*).3p""","=""2D""","=""3/2""",4,"=""""","=""133.42""","=""a""","=""0.05""","=""  48         :    48  1s.2s.(3S).4d       2D   ""","=""004002.000142""","=""L12158"""
"=""1s.2p.(3P*).3p""","=""2D""","=""5/2""",6,"=""""","=""133.42""","=""a""","=""0.05""","=""  48         :    48  1s.2s.(3S).4d       2D   ""","=""004002.000143""","=""L12158"""
"=""1s.2p.(3P*).3d""","=""2D*""","=""3/2""",4,"=""""","=""133.571""","=""""","=""0.012""","=""  99                                           ""","=""004002.000144""","=""L12158"""
"=""1s.2p.(3P*).3d""","=""2D*""","=""5/2""",6,"=""""","=""133.571""","=""""","=""0.012""","=""  99                                           ""","=""004002.000145""","=""L12158"""
"=""1s.2s.(3S).4d""","=""2D""","=""3/2""",4,"=""""","=""133.62""","=""a""","=""0.10""","=""  32         :    32  1s.2p.(3P*).3p      2D   ""","=""004002.000146""","=""L12158"""
"=""1s.2s.(3S).4d""","=""2D""","=""5/2""",6,"=""""","=""133.62""","=""a""","=""0.10""","=""  32         :    32  1s.2p.(3P*).3p      2D   ""","=""004002.000147""","=""L12158"""
"=""1s.2p.3d""","=""4F*""","=""3/2""",4,"=""""","=""133.70282""","=""+x""","=""0.00012""","=""  60         :    34  1s.2s.4f            4F*  ""","=""004002.000148""","=""L12158"""
"=""1s.2p.3d""","=""4F*""","=""5/2""",6,"=""""","=""133.70282""","=""+x""","=""0.00012""","=""  60         :    34  1s.2s.4f            4F*  ""","=""004002.000149""","=""L12158"""
"=""1s.2p.3d""","=""4F*""","=""7/2""",8,"=""""","=""133.70282""","=""+x""","=""0.00012""","=""  60         :    34  1s.2s.4f            4F*  ""","=""004002.000150""","=""L12158"""
"=""1s.2p.3d""","=""4F*""","=""9/2""",10,"=""""","=""133.70282""","=""+x""","=""0.00012""","=""  60         :    34  1s.2s.4f            4F*  ""","=""004002.000151""","=""L12158"""
"=""1s.2p.3d""","=""4D*""","=""1/2""",2,"=""""","=""133.83908""","=""+x""","=""0.00006""","="" 100                                           ""","=""004002.000152""","=""L12158"""
"=""1s.2p.3d""","=""4D*""","=""3/2""",4,"=""""","=""133.83908""","=""+x""","=""0.00006""","="" 100                                           ""","=""004002.000153""","=""L12158"""
"=""1s.2p.3d""","=""4D*""","=""5/2""",6,"=""""","=""133.83908""","=""+x""","=""0.00006""","="" 100                                           ""","=""004002.000154""","=""L12158"""
"=""1s.2p.3d""","=""4D*""","=""7/2""",8,"=""""","=""133.83908""","=""+x""","=""0.00006""","="" 100                                           ""","=""004002.000155""","=""L12158"""
"=""1s.2p.(3P*).3p""","=""2S""","=""1/2""",2,"=""""","=""134.00""","=""a""","=""0.06""","=""  47         :    35  1s.2s.(3S).5s       2S   ""","=""004002.000156""","=""L12158"""
"=""1s.2p.3d""","=""4P*""","=""1/2""",2,"=""""","=""134.1137""","=""+x""","=""0.0007""","=""  80         :    13  1s.2s.5p            4P*  ""","=""004002.000157""","=""L12158"""
"=""1s.2p.3d""","=""4P*""","=""3/2""",4,"=""""","=""134.1137""","=""+x""","=""0.0007""","=""  80         :    13  1s.2s.5p            4P*  ""","=""004002.000158""","=""L12158"""
"=""1s.2p.3d""","=""4P*""","=""5/2""",6,"=""""","=""134.1137""","=""+x""","=""0.0007""","=""  80         :    13  1s.2s.5p            4P*  ""","=""004002.000159""","=""L12158"""
"=""1s.2s.5d""","=""4D""","=""7/2""",8,"=""""","=""134.532""","=""+x""","=""0.005""","=""  99                                           ""","=""004002.000163""","=""L12158"""
"=""1s.2s.5d""","=""4D""","=""3/2""",4,"=""""","=""134.532""","=""+x""","=""0.005""","=""  99                                           ""","=""004002.000161""","=""L12158"""
"=""1s.2s.5d""","=""4D""","=""5/2""",6,"=""""","=""134.532""","=""+x""","=""0.005""","=""  99                                           ""","=""004002.000162""","=""L12158"""
"=""1s.2s.5d""","=""4D""","=""1/2""",2,"=""""","=""134.532""","=""+x""","=""0.005""","=""  99                                           ""","=""004002.000160""","=""L12158"""
"=""1s.2s.5f""","=""4F*""","=""9/2""",10,"=""""","=""134.6549""","=""+x""","=""0.0012""","=""  95         :     5  1s.2p.3d            4F*  ""","=""004002.000167""","=""L12158"""
"=""1s.2s.5f""","=""4F*""","=""7/2""",8,"=""""","=""134.6549""","=""+x""","=""0.0012""","=""  95         :     5  1s.2p.3d            4F*  ""","=""004002.000166""","=""L12158"""
"=""1s.2s.5f""","=""4F*""","=""5/2""",6,"=""""","=""134.6549""","=""+x""","=""0.0012""","=""  95         :     5  1s.2p.3d            4F*  ""","=""004002.000165""","=""L12158"""
"=""1s.2s.5f""","=""4F*""","=""3/2""",4,"=""""","=""134.6549""","=""+x""","=""0.0012""","=""  95         :     5  1s.2p.3d            4F*  ""","=""004002.000164""","=""L12158"""
"=""1s.2p.(1P*).3p""","=""2D""","=""5/2""",6,"=""""","=""134.77""","=""a""","=""0.04""","=""  84         :     8  1s.2s.(1S).3d       2D   ""","=""004002.000169""","=""L12158"""
"=""1s.2p.(1P*).3p""","=""2D""","=""3/2""",4,"=""""","=""134.77""","=""a""","=""0.04""","=""  84         :     8  1s.2s.(1S).3d       2D   ""","=""004002.000168""","=""L12158"""
"=""1s.2p.(1P*).3p""","=""2P""","=""3/2""",4,"=""""","=""135.01""","=""?""","=""0.04""","=""  89         :     5  1s.2p.(3P*).4p      2P   ""","=""004002.000171""","=""L12158"""
"=""1s.2p.(1P*).3p""","=""2P""","=""1/2""",2,"=""""","=""135.01""","=""?""","=""0.04""","=""  89         :     5  1s.2p.(3P*).4p      2P   ""","=""004002.000170""","=""L12158"""
"=""1s.2p.(1P*).3d""","=""2D*""","=""5/2""",6,"=""""","=""135.448""","=""""","=""0.012""","=""  99                                           ""","=""004002.000173""","=""L12158"""
"=""1s.2p.(1P*).3d""","=""2D*""","=""3/2""",4,"=""""","=""135.448""","=""""","=""0.012""","=""  99                                           ""","=""004002.000172""","=""L12158"""
"=""1s.2p.(1P*).3d""","=""2F*""","=""7/2""",8,"=""""","=""135.47""","=""a?""","=""0.06""","=""  54         :    36  1s.2s.(3S).6f       2F*  ""","=""004002.000175""","=""L12158"""
"=""1s.2p.(1P*).3d""","=""2F*""","=""5/2""",6,"=""""","=""135.47""","=""a?""","=""0.06""","=""  54         :    36  1s.2s.(3S).6f       2F*  ""","=""004002.000174""","=""L12158"""
"=""1s.2p.4s""","=""4P*""","=""5/2""",6,"=""""","=""135.923""","=""+x""","=""0.004""","=""  97                                           ""","=""004002.000178""","=""L12158"""
"=""1s.2p.4s""","=""4P*""","=""3/2""",4,"=""""","=""135.923""","=""+x""","=""0.004""","=""  97                                           ""","=""004002.000177""","=""L12158"""
"=""1s.2p.4s""","=""4P*""","=""1/2""",2,"=""""","=""135.923""","=""+x""","=""0.004""","=""  97                                           ""","=""004002.000176""","=""L12158"""
"=""1s.2p.4p""","=""4D""","=""1/2""",2,"=""""","=""136.2118""","=""+x?""","=""0.0014""","=""  70         :    25  1s.2s.9d            4D   ""","=""004002.000179""","=""L12158"""
"=""1s.2p.4p""","=""4D""","=""3/2""",4,"=""""","=""136.2118""","=""+x?""","=""0.0014""","=""  70         :    25  1s.2s.9d            4D   ""","=""004002.000180""","=""L12158"""
"=""1s.2p.4p""","=""4D""","=""5/2""",6,"=""""","=""136.2118""","=""+x?""","=""0.0014""","=""  70         :    25  1s.2s.9d            4D   ""","=""004002.000181""","=""L12158"""
"=""1s.2p.4p""","=""4D""","=""7/2""",8,"=""""","=""136.2118""","=""+x?""","=""0.0014""","=""  70         :    25  1s.2s.9d            4D   ""","=""004002.000182""","=""L12158"""
"=""1s.2p.(3P*).4p""","=""2P""","=""3/2""",4,"=""""","=""136.25""","=""""","=""0.05""","=""  93         :     6  1s.2p.(1P*).3p      2P   ""","=""004002.000184""","=""L12158"""
"=""1s.2p.(3P*).4p""","=""2P""","=""1/2""",2,"=""""","=""136.25""","=""""","=""0.05""","=""  93         :     6  1s.2p.(1P*).3p      2P   ""","=""004002.000183""","=""L12158"""
"=""1s.2p.4p""","=""4S""","=""3/2""",4,"=""""","=""136.3801""","=""+x?""","=""0.0015""","=""  58         :    23  1s.2s.10s           4S   ""","=""004002.000185""","=""L12158"""
"=""1s.2p.4p""","=""4P""","=""5/2""",6,"=""""","=""136.3972""","=""+x?""","=""0.0025""","=""  98                                           ""","=""004002.000188""","=""L12158"""
"=""1s.2p.4p""","=""4P""","=""1/2""",2,"=""""","=""136.3972""","=""+x?""","=""0.0025""","=""  98                                           ""","=""004002.000186""","=""L12158"""
"=""1s.2p.4p""","=""4P""","=""3/2""",4,"=""""","=""136.3972""","=""+x?""","=""0.0025""","=""  98                                           ""","=""004002.000187""","=""L12158"""
"=""1s.2p.(3P*).4d""","=""2D*""","=""5/2""",6,"=""""","=""136.546""","=""""","=""0.012""","=""  99                                           ""","=""004002.000190""","=""L12158"""
"=""1s.2p.(3P*).4d""","=""2D*""","=""3/2""",4,"=""""","=""136.546""","=""""","=""0.012""","=""  99                                           ""","=""004002.000189""","=""L12158"""
"=""1s.2p.4d""","=""4D*""","=""5/2""",6,"=""""","=""136.6436""","=""+x""","=""0.0025""","="" 100                                           ""","=""004002.000193""","=""L12158"""
"=""1s.2p.4d""","=""4D*""","=""7/2""",8,"=""""","=""136.6436""","=""+x""","=""0.0025""","="" 100                                           ""","=""004002.000194""","=""L12158"""
"=""1s.2p.4d""","=""4D*""","=""3/2""",4,"=""""","=""136.6436""","=""+x""","=""0.0025""","="" 100                                           ""","=""004002.000192""","=""L12158"""
"=""1s.2p.4d""","=""4D*""","=""1/2""",2,"=""""","=""136.6436""","=""+x""","=""0.0025""","="" 100                                           ""","=""004002.000191""","=""L12158"""
"=""1s.2p.(3P*).4f""","=""2F""","=""5/2""",6,"=""[""","=""136.673""","=""]""","=""0.012""","=""  99         :     1  1s.2p.(3P*).4f      4F   ""","=""004002.000195""","=""L12158"""
"=""1s.2p.(3P*).4f""","=""2F""","=""7/2""",8,"=""[""","=""136.673""","=""]""","=""0.012""","=""  99         :     1  1s.2p.(3P*).4f      4F   ""","=""004002.000196""","=""L12158"""
"=""1s.2p.4f""","=""4F""","=""9/2""",10,"=""[""","=""136.67473""","=""]+x""","=""0.00000""","="" 100                                           ""","=""004002.000200""","=""L12158"""
"=""1s.2p.4f""","=""4F""","=""7/2""",8,"=""[""","=""136.67473""","=""]+x""","=""0.00000""","=""  99         :     1  1s.2p.(3P*).4f      2F   ""","=""004002.000199""","=""L12158"""
"=""1s.2p.4f""","=""4F""","=""5/2""",6,"=""[""","=""136.67473""","=""]+x""","=""0.00000""","=""  99         :     1  1s.2p.(3P*).4f      2F   ""","=""004002.000198""","=""L12158"""
"=""1s.2p.4f""","=""4F""","=""3/2""",4,"=""[""","=""136.67473""","=""]+x""","=""0.00000""","="" 100                                           ""","=""004002.000197""","=""L12158"""
"=""1s.2p.4f""","=""4D""","=""7/2""",8,"=""""","=""136.7714""","=""+x""","=""0.0007""","=""  70         :    25  1s.2s.nd            4D   ""","=""004002.000204""","=""L12158"""
"=""1s.2p.4f""","=""4D""","=""3/2""",4,"=""""","=""136.7714""","=""+x""","=""0.0007""","=""  70         :    25  1s.2s.nd            4D   ""","=""004002.000202""","=""L12158"""
"=""1s.2p.4f""","=""4D""","=""5/2""",6,"=""""","=""136.7714""","=""+x""","=""0.0007""","=""  70         :    25  1s.2s.nd            4D   ""","=""004002.000203""","=""L12158"""
"=""1s.2p.4f""","=""4D""","=""1/2""",2,"=""""","=""136.7714""","=""+x""","=""0.0007""","=""  70         :    25  1s.2s.nd            4D   ""","=""004002.000201""","=""L12158"""
"=""Be III (1s.2s 3S<1>)""","=""Limit""","=""---""",,"=""""","=""136.802739""","=""""","=""0.000025""","=""                                               ""","=""004002.Lim002""","="""""
"=""1s.2p.5d""","=""4D*""","=""3/2""",4,"=""""","=""137.918""","=""+x""","=""0.005""","="" 100                                           ""","=""004002.000207""","=""L12158"""
"=""1s.2p.5d""","=""4D*""","=""5/2""",6,"=""""","=""137.918""","=""+x""","=""0.005""","="" 100                                           ""","=""004002.000208""","=""L12158"""
"=""1s.2p.5d""","=""4D*""","=""7/2""",8,"=""""","=""137.918""","=""+x""","=""0.005""","="" 100                                           ""","=""004002.000209""","=""L12158"""
"=""1s.2p.5d""","=""4D*""","=""1/2""",2,"=""""","=""137.918""","=""+x""","=""0.005""","="" 100                                           ""","=""004002.000206""","=""L12158"""
