Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference
"=""2s.2p2""","=""2P""","=""3/2""",4,"=""""","=""275.89""","=""a""","=""0.07""","="" 100                                           ""","=""004002.000245""","=""L12158"""
"=""2s.2p2""","=""2P""","=""1/2""",2,"=""""","=""275.89""","=""a""","=""0.07""","="" 100                                           ""","=""004002.000244""","=""L12158"""
"=""2p3""","=""2D*""","=""5/2""",6,"=""""","=""275.98""","=""a""","=""0.07""","=""  98         :     1  2s.2p.(3P*).3d      2D*  ""","=""004002.000247""","=""L12158"""
"=""2p3""","=""2D*""","=""3/2""",4,"=""""","=""275.98""","=""a""","=""0.07""","=""  98         :     1  2s.2p.(3P*).3d      2D*  ""","=""004002.000246""","=""L12158"""
"=""2p3""","=""2P*""","=""1/2""",2,"=""""","=""278.90""","=""a""","=""0.04""","=""  86         :    11  2s2.2p              2P*  ""","=""004002.000248""","=""L12158"""
"=""2p3""","=""2P*""","=""3/2""",4,"=""""","=""278.90""","=""a""","=""0.04""","=""  86         :    11  2s2.2p              2P*  ""","=""004002.000249""","=""L12158"""
"=""2s2.3p""","=""2P*""","=""3/2""",4,"=""""","=""285.40""","=""a?""","=""0.04""","=""  47         :    37  2s.2p.(3P*).3s      2P*  ""","=""004002.000251""","=""L12158"""
"=""2s2.3p""","=""2P*""","=""1/2""",2,"=""""","=""285.40""","=""a?""","=""0.04""","=""  47         :    37  2s.2p.(3P*).3s      2P*  ""","=""004002.000250""","=""L12158"""
"=""2s.2p.3p""","=""4P""","=""5/2""",6,"=""""","=""287.01""","=""a+x""","=""0.10""","="" 100                                           ""","=""004002.000254""","=""L12158"""
"=""2s.2p.3p""","=""4P""","=""1/2""",2,"=""""","=""287.01""","=""a+x""","=""0.10""","="" 100                                           ""","=""004002.000252""","=""L12158"""
"=""2s.2p.3p""","=""4P""","=""3/2""",4,"=""""","=""287.01""","=""a+x""","=""0.10""","="" 100                                           ""","=""004002.000253""","=""L12158"""
"=""2s2.3d""","=""2D""","=""3/2""",4,"=""""","=""287.28""","=""a?""","=""0.04""","=""  65         :    16  2p2.(1S).3d         2D   ""","=""004002.000255""","=""L12158"""
"=""2s2.3d""","=""2D""","=""5/2""",6,"=""""","=""287.28""","=""a?""","=""0.04""","=""  65         :    16  2p2.(1S).3d         2D   ""","=""004002.000256""","=""L12158"""
"=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",4,"=""""","=""288.10""","=""a""","=""0.04""","=""  91         :     6  2p2.(3P).3p         2D*  ""","=""004002.000257""","=""L12158"""
"=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",6,"=""""","=""288.10""","=""a""","=""0.04""","=""  91         :     6  2p2.(3P).3p         2D*  ""","=""004002.000258""","=""L12158"""
