Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""1s.2p.3p""","=""4P""","=""1/2""",2,"=""""","=""64.872""","=""""","=""0.012""","=""003001.000149""","="""""
"=""1s.2p.3p""","=""4P""","=""3/2""",4,"=""""","=""64.872""","=""""","=""0.012""","=""003001.000150""","="""""
"=""1s.2p.3p""","=""4P""","=""5/2""",6,"=""""","=""64.872""","=""""","=""0.012""","=""003001.000151""","="""""
"=""1s.2p.3d""","=""4D*""","=""1/2""",2,"=""""","=""65.126""","=""""","=""0.012""","=""003001.000152""","="""""
"=""1s.2p.3d""","=""4D*""","=""3/2""",4,"=""""","=""65.126""","=""""","=""0.012""","=""003001.000153""","="""""
"=""1s.2p.3d""","=""4D*""","=""5/2""",6,"=""""","=""65.126""","=""""","=""0.012""","=""003001.000154""","="""""
"=""1s.2p.3d""","=""4D*""","=""7/2""",8,"=""""","=""65.126""","=""""","=""0.012""","=""003001.000155""","="""""
"=""1s.2p.(1P*).3s""","=""2P*""","=""1/2""",2,"=""""","=""65.267""","=""""","=""0.012""","=""003001.000156""","="""""
"=""1s.2p.(1P*).3s""","=""2P*""","=""3/2""",4,"=""""","=""65.267""","=""""","=""0.012""","=""003001.000157""","="""""
"=""1s.2p.4p""","=""4P""","=""1/2""",2,"=""""","=""65.780""","=""""","=""0.012""","=""003001.000158""","="""""
"=""1s.2p.4p""","=""4P""","=""3/2""",4,"=""""","=""65.780""","=""""","=""0.012""","=""003001.000159""","="""""
"=""1s.2p.4p""","=""4P""","=""5/2""",6,"=""""","=""65.780""","=""""","=""0.012""","=""003001.000160""","="""""
"=""1s.2p.5p""","=""4P""","=""1/2""",2,"=""""","=""66.169""","=""""","=""0.012""","=""003001.000161""","="""""
"=""1s.2p.5p""","=""4P""","=""3/2""",4,"=""""","=""66.169""","=""""","=""0.012""","=""003001.000162""","="""""
"=""1s.2p.5p""","=""4P""","=""5/2""",6,"=""""","=""66.169""","=""""","=""0.012""","=""003001.000163""","="""""
"=""1s.2p.6p""","=""4P""","=""1/2""",2,"=""""","=""66.379""","=""""","=""0.012""","=""003001.000164""","="""""
"=""1s.2p.6p""","=""4P""","=""3/2""",4,"=""""","=""66.379""","=""""","=""0.012""","=""003001.000165""","="""""
"=""1s.2p.6p""","=""4P""","=""5/2""",6,"=""""","=""66.379""","=""""","=""0.012""","=""003001.000166""","="""""
"=""1s.2p.(1P*).4s""","=""2P*""","=""1/2""",2,"=""""","=""66.454""","=""""","=""0.012""","=""003001.000167""","="""""
"=""1s.2p.(1P*).4s""","=""2P*""","=""3/2""",4,"=""""","=""66.454""","=""""","=""0.012""","=""003001.000168""","="""""
"=""1s.2p.(1P*).5s""","=""2P*""","=""1/2""",2,"=""""","=""66.93""","=""""","=""0.12""","=""003001.000169""","="""""
"=""1s.2p.(1P*).5s""","=""2P*""","=""3/2""",4,"=""""","=""66.93""","=""""","=""0.12""","=""003001.000170""","="""""
"=""1s.2p.(1P*).6s""","=""2P*""","=""1/2""",2,"=""""","=""67.165""","=""""","=""0.012""","=""003001.000171""","="""""
"=""1s.2p.(1P*).6s""","=""2P*""","=""3/2""",4,"=""""","=""67.165""","=""""","=""0.012""","=""003001.000172""","="""""
"=""1s.2p.(1P*).7s""","=""2P*""","=""1/2""",2,"=""""","=""67.292""","=""""","=""0.012""","=""003001.000173""","="""""
"=""1s.2p.(1P*).7s""","=""2P*""","=""3/2""",4,"=""""","=""67.292""","=""""","=""0.012""","=""003001.000174""","="""""
"=""1s.2p.(1P*).8s""","=""2P*""","=""1/2""",2,"=""""","=""67.378""","=""""","=""0.012""","=""003001.000175""","="""""
"=""1s.2p.(1P*).8s""","=""2P*""","=""3/2""",4,"=""""","=""67.378""","=""""","=""0.012""","=""003001.000176""","="""""
"=""1s.2p.(1P*).9s""","=""2P*""","=""1/2""",2,"=""""","=""67.433""","=""""","=""0.012""","=""003001.000177""","="""""
"=""1s.2p.(1P*).9s""","=""2P*""","=""3/2""",4,"=""""","=""67.433""","=""""","=""0.012""","=""003001.000178""","="""""
"=""1s.2p.(1P*).10s""","=""2P*""","=""1/2""",2,"=""""","=""67.476""","=""""","=""0.012""","=""003001.000179""","="""""
"=""1s.2p.(1P*).10s""","=""2P*""","=""3/2""",4,"=""""","=""67.476""","=""""","=""0.012""","=""003001.000180""","="""""
"=""1s.2p.(1P*).11s""","=""2P*""","=""1/2""",2,"=""""","=""67.499""","=""""","=""0.012""","=""003001.000181""","="""""
"=""1s.2p.(1P*).11s""","=""2P*""","=""3/2""",4,"=""""","=""67.499""","=""""","=""0.012""","=""003001.000182""","="""""
