Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference
"=""2s2.2p4.(3P).5d""","=""2F""","=""5/2""",6,"=""""","=""38.8499635""","=""""","=""0.0000004""","=""  33                            :    27  2s2.2p4.(3P).5d    4P    ""","=""010002.000169""","=""L9088"""
"=""2s2.2p4.(3P).5d""","=""2D""","=""5/2""",6,"=""""","=""38.7456240""","=""""","=""0.0000004""","=""  55                            :    23  2s2.2p4.(3P).5d    2F    ""","=""010002.000138""","=""L9088"""
"=""2s2.2p4.(3P).5d""","=""2D""","=""3/2""",4,"=""""","=""38.7542089""","=""""","=""0.0000004""","=""  39                            :    30  2s2.2p4.(3P).5d    4P    ""","=""010002.000139""","=""L9088"""
"=""2s2.2p4.(3P).5d""","=""4P""","=""1/2""",2,"=""""","=""38.7556217""","=""""","=""0.0000005""","=""  51                            :    35  2s2.2p4.(3P).5d    2P    ""","=""010002.000140""","=""L9088"""
"=""2s2.2p4.(3P).5d""","=""4P""","=""3/2""",4,"=""""","=""38.8097589""","=""""","=""0.0000004""","=""  40                            :    27  2s2.2p4.(3P).5d    4D    ""","=""010002.000164""","=""L9088"""
"=""2s2.2p4.(3P).5d""","=""4P""","=""5/2""",6,"=""""","=""38.8242289""","=""""","=""0.0000004""","=""  41                            :    30  2s2.2p4.(3P).5d    2F    ""","=""010002.000167""","=""L9088"""
"=""2s2.2p4.(3P<2>).5f""","=""2[4]*""","=""9/2""",10,"=""""","=""38.7777806""","=""""","=""0.0000006""","="" 100                                                              ""","=""010002.000141""","=""L9088"""
"=""2s2.2p4.(3P<2>).5f""","=""2[4]*""","=""7/2""",8,"=""""","=""38.7779776""","=""""","=""0.0000005""","=""  94                            :     6  2s2.2p4.(3P<2>).5f 2[3]* ""","=""010002.000142""","=""L9088"""
"=""2s2.2p4.(3P<2>).5f""","=""2[3]*""","=""7/2""",8,"=""""","=""38.7787847""","=""""","=""0.0000006""","=""  94                            :     6  2s2.2p4.(3P<2>).5f 2[4]* ""","=""010002.000143""","=""L9088"""
"=""2s2.2p4.(3P<2>).5f""","=""2[3]*""","=""5/2""",6,"=""""","=""38.7788391""","=""""","=""0.0000006""","=""  99                                                              ""","=""010002.000144""","=""L9088"""
"=""2s2.2p4.(3P<2>).5f""","=""2[2]*""","=""3/2""",4,"=""""","=""38.7827565""","=""""","=""0.0000006""","=""  99                                                              ""","=""010002.000145""","=""L9088"""
"=""2s2.2p4.(3P<2>).5f""","=""2[2]*""","=""5/2""",6,"=""""","=""38.7828416""","=""""","=""0.0000006""","=""  99                                                              ""","=""010002.000146""","=""L9088"""
"=""2s2.2p4.(3P<2>).5g""","=""2[5]""","=""9/2""",10,"=""""","=""38.7835808""","=""""","=""0.0000025""","="" 100                                                              ""","=""010002.000147""","=""L9088"""
