Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference
"=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""",6,"=""""","=""11.36199""","=""+x""","=""0.00022""","=""  82         :    17  2s.2p.(3P*).4s 4P*  ""","=""005001.000089""","=""L12312"""
"=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""",4,"=""""","=""11.36244""","=""+x""","=""0.00022""","=""  81         :    18  2s.2p.(3P*).4s 4P*  ""","=""005001.000090""","=""L12312"""
"=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""",2,"=""""","=""11.36266""","=""+x""","=""0.00022""","=""  81         :    18  2s.2p.(3P*).4s 4P*  ""","=""005001.000091""","=""L12312"""
"=""2s.2p.(3P*).4s""","=""4P*""","=""5/2""",6,"=""""","=""11.42586""","=""+x""","=""0.00022""","=""  82         :    17  2s.2p.(3P*).3d 4P*  ""","=""005001.000092""","=""L12312"""
"=""2s.2p.(3P*).4p""","=""2P""","=""1/2""",2,"=""""","=""11.83397""","=""""","=""0.00006""","=""  98                                      ""","=""005001.000093""","=""L12312"""
"=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",4,"=""""","=""11.83448""","=""""","=""0.00006""","=""  98                                      ""","=""005001.000094""","=""L12312"""
"=""2s.2p.(3P*).4d""","=""4D*""","=""3/2""",4,"=""""","=""11.99153""","=""+x""","=""0.00022""","=""  96                                      ""","=""005001.000095""","=""L12312"""
"=""2s.2p.(3P*).4d""","=""4D*""","=""5/2""",6,"=""""","=""11.99236""","=""+x""","=""0.00022""","=""  95         :     5  2s.2p.(3P*).4d 4F*  ""","=""005001.000096""","=""L12312"""
"=""2s.2p.(3P*).4d""","=""4D*""","=""7/2""",8,"=""""","=""11.99283""","=""+x""","=""0.00022""","=""  95         :     4  2s.2p.(3P*).4d 4F*  ""","=""005001.000097""","=""L12312"""
"=""2p3""","=""4S*""","=""3/2""",4,"=""""","=""12.01169""","=""+x""","=""0.00022""","="" 100                                      ""","=""005001.000098""","=""L12312"""
"=""2s.2p.(3P*).5p""","=""2P""","=""3/2""",4,"=""""","=""12.26472""","=""""","=""0.00010""","=""  99                                      ""","=""005001.000099""","=""L12312"""
"=""2s.2p.(3P*).5d""","=""4D*""","=""7/2""",8,"=""""","=""12.32190""","=""+x""","=""0.00022""","=""  53         :    47  2s.2p.(3P*).5d 4F*  ""","=""005001.000100""","=""L12312"""
"=""2s.2p.(3P*).6p""","=""2P""","=""3/2""",4,"=""""","=""12.48294""","=""""","=""0.00010""","=""  98                                      ""","=""005001.000101""","=""L12312"""
"=""B II (2s.2p 3P*<0>)""","=""Limit""","=""---""",,"=""""","=""12.927036""","=""""","=""0.000007""","=""                                          ""","=""005001.Lim002""","=""L12312"""
"=""B II (2s.2p 3P*<1>)""","=""Limit""","=""---""",,"=""""","=""12.927794""","=""""","=""0.000006""","=""                                          ""","=""005001.Lim003""","=""L12312"""
"=""B II (2s.2p 3P*<2>)""","=""Limit""","=""---""",,"=""""","=""12.929796""","=""""","=""0.000006""","=""                                          ""","=""005001.Lim004""","=""L12312"""
"=""B II (2s.2p 1P*<1>)""","=""Limit""","=""---""",,"=""""","=""17.398027""","=""""","=""0.000006""","=""                                          ""","=""005001.Lim005""","=""L12312"""
"=""1s.(2S).2s2.2p2.(3P)""","=""2P""","=""1/2,3/2""",6,"=""""","=""190.58""","=""""","=""0.09""","=""                                          ""","=""005001.000106""","=""L12312"""
"=""1s.(2S).2s2.2p2.(1D)""","=""2D""","=""3/2,5/2""",10,"=""""","=""190.71""","=""""","=""0.09""","=""                                          ""","=""005001.000115""","=""L12312"""
"=""1s.(2S).2s2.2p2.(1S)""","=""2S""","=""1/2""",2,"=""""","=""191.87""","=""""","=""0.09""","=""                                          ""","=""005001.000116""","=""L12312"""
"=""1s.(2S).2s2.2p.(3P*).3p""","=""2P""","=""1/2,3/2""",6,"=""""","=""198.19""","=""""","=""0.10""","=""                                          ""","=""005001.000107""","=""L12312"""
"=""1s.(2S).2s2.2p.(3P*).3p""","=""2D""","=""3/2,5/2""",10,"=""""","=""198.54""","=""""","=""0.10""","=""                                          ""","=""005001.000108""","=""L12312"""
"=""1s.(2S).2s2.2p.(3P*).3p""","=""2S""","=""1/2""",2,"=""""","=""198.88""","=""""","=""0.10""","=""                                          ""","=""005001.000109""","=""L12312"""
"=""1s.(2S).2s2.2p.(3P*).4p""","=""""","=""1/2 or 3/2""",2,"=""""","=""199.55""","=""""","=""0.10""","=""                                          ""","=""005001.000110""","=""L12312"""
"=""1s.(2S).2s2.2p.(1P*).3p""","=""2P""","=""1/2,3/2""",6,"=""""","=""200.14""","=""""","=""0.10""","=""                                          ""","=""005001.000111""","=""L12312"""
"=""B II (1s.2s2.2p 3P*)""","=""Limit""","=""---""",,"=""""","=""200.68""","=""""","=""0.10""","=""                                          ""","=""005001.Lim006""","=""L12312"""
"=""1s.(2S).2s2.2p.(1P*).4p""","=""""","=""1/2 or 3/2""",2,"=""""","=""201.54""","=""""","=""0.10""","=""                                          ""","=""005001.000112""","=""L12312"""
"=""B II (1s.2s2.2p 1P*)""","=""Limit""","=""---""",,"=""""","=""202.66""","=""""","=""0.10""","=""                                          ""","=""005001.Lim007""","=""L12312"""
