Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""1s.32g""","=""3G""","=""5""",11,"=""[""","=""24.57410391757792""","=""]""","=""0.00000000000025""","=""002001.000640""","=""L22715c201"""
"=""1s.32g""","=""3G""","=""3""",7,"=""[""","=""24.57410391876878""","=""]""","=""0.00000000000025""","=""002001.000590""","=""L22715c201"""
"=""1s.32g""","=""1G""","=""4""",9,"=""[""","=""24.57410391957641""","=""]""","=""0.00000000000025""","=""002001.000565""","=""L22715c201"""
"=""1s.32h""","=""3H*""","=""5""",11,"=""[""","=""24.57410398153665""","=""]""","=""0.00000000000025""","=""002001.000715""","=""L22715c201"""
"=""1s.32h""","=""3H*""","=""6""",13,"=""[""","=""24.57410398239003""","=""]""","=""0.00000000000025""","=""002001.000740""","=""L22715c201"""
"=""1s.32h""","=""3H*""","=""4""",9,"=""[""","=""24.57410398316456""","=""]""","=""0.00000000000025""","=""002001.000690""","=""L22715c201"""
"=""1s.32h""","=""1H*""","=""5""",11,"=""[""","=""24.57410398374257""","=""]""","=""0.00000000000025""","=""002001.000665""","=""L22715c201"""
"=""1s.32i""","=""3I""","=""6""",13,"=""[""","=""24.57410400297625""","=""]""","=""0.00000000000025""","=""002001.000815""","=""L22715c201"""
"=""1s.32i""","=""3I""","=""7""",15,"=""[""","=""24.57410400357484""","=""]""","=""0.00000000000025""","=""002001.000840""","=""L22715c201"""
"=""1s.32i""","=""3I""","=""5""",11,"=""[""","=""24.57410400412025""","=""]""","=""0.00000000000025""","=""002001.000790""","=""L22715c201"""
"=""1s.32i""","=""1I""","=""6""",13,"=""[""","=""24.57410400455357""","=""]""","=""0.00000000000025""","=""002001.000765""","=""L22715c201"""
"=""1s.32p""","=""1P*""","=""1""",3,"=""[""","=""24.5741140921573""","=""]""","=""0.0000000000006""","=""002001.000265""","=""L22715c201"""
"=""1s.33s""","=""3S""","=""1""",3,"=""[""","=""24.574669284234""","=""]""","=""0.000000000008""","=""002001.000246""","=""L22715c201"""
"=""1s.33s""","=""1S""","=""0""",1,"=""[""","=""24.574790498896""","=""]""","=""0.000000000010""","=""002001.000221""","=""L22715c201"""
"=""1s.33p""","=""3P*""","=""2""",5,"=""[""","=""24.574845070751""","=""]""","=""0.000000000003""","=""002001.000341""","=""L22715c201"""
"=""1s.33p""","=""3P*""","=""1""",3,"=""[""","=""24.574845072600""","=""]""","=""0.000000000003""","=""002001.000316""","=""L22715c201"""
"=""1s.33p""","=""3P*""","=""0""",1,"=""[""","=""24.574845095352""","=""]""","=""0.000000000004""","=""002001.000291""","=""L22715c201"""
"=""1s.33d""","=""3D""","=""3""",7,"=""[""","=""24.5748947891421""","=""]""","=""0.0000000000004""","=""002001.000441""","=""L22715c201"""
"=""1s.33d""","=""3D""","=""2""",5,"=""[""","=""24.5748947894349""","=""]""","=""0.0000000000004""","=""002001.000416""","=""L22715c201"""
"=""1s.33d""","=""3D""","=""1""",3,"=""[""","=""24.5748947934950""","=""]""","=""0.0000000000004""","=""002001.000391""","=""L22715c201"""
"=""1s.33d""","=""1D""","=""2""",5,"=""[""","=""24.57489537598439""","=""]""","=""0.00000000000025""","=""002001.000366""","=""L22715c201"""
"=""1s.33f""","=""3F*""","=""3""",7,"=""[""","=""24.57489663557879""","=""]""","=""0.00000000000025""","=""002001.000516""","=""L22715c201"""
"=""1s.33f""","=""3F*""","=""4""",9,"=""[""","=""24.57489663650681""","=""]""","=""0.00000000000025""","=""002001.000541""","=""L22715c201"""
"=""1s.33f""","=""3F*""","=""2""",5,"=""[""","=""24.57489663840675""","=""]""","=""0.00000000000025""","=""002001.000491""","=""L22715c201"""
"=""1s.33f""","=""1F*""","=""3""",7,"=""[""","=""24.57489664183565""","=""]""","=""0.00000000000025""","=""002001.000466""","=""L22715c201"""
"=""1s.33g""","=""3G""","=""4""",9,"=""[""","=""24.57489687711774""","=""]""","=""0.00000000000025""","=""002001.000616""","=""L22715c201"""
"=""1s.33g""","=""3G""","=""5""",11,"=""[""","=""24.57489687830762""","=""]""","=""0.00000000000025""","=""002001.000641""","=""L22715c201"""
"=""1s.33g""","=""3G""","=""3""",7,"=""[""","=""24.57489687939347""","=""]""","=""0.00000000000025""","=""002001.000591""","=""L22715c201"""
"=""1s.33g""","=""1G""","=""4""",9,"=""[""","=""24.57489688012993""","=""]""","=""0.00000000000025""","=""002001.000566""","=""L22715c201"""
"=""1s.33h""","=""3H*""","=""5""",11,"=""[""","=""24.57489693664242""","=""]""","=""0.00000000000025""","=""002001.000716""","=""L22715c201"""
"=""1s.33h""","=""3H*""","=""6""",13,"=""[""","=""24.57489693742055""","=""]""","=""0.00000000000025""","=""002001.000741""","=""L22715c201"""
"=""1s.33h""","=""3H*""","=""4""",9,"=""[""","=""24.57489693812677""","=""]""","=""0.00000000000025""","=""002001.000691""","=""L22715c201"""
"=""1s.33h""","=""1H*""","=""5""",11,"=""[""","=""24.57489693865382""","=""]""","=""0.00000000000025""","=""002001.000666""","=""L22715c201"""
"=""1s.33i""","=""3I""","=""6""",13,"=""[""","=""24.57489695619907""","=""]""","=""0.00000000000025""","=""002001.000816""","=""L22715c201"""
"=""1s.33i""","=""3I""","=""7""",15,"=""[""","=""24.57489695674485""","=""]""","=""0.00000000000025""","=""002001.000841""","=""L22715c201"""
"=""1s.33i""","=""3I""","=""5""",11,"=""[""","=""24.57489695724215""","=""]""","=""0.00000000000025""","=""002001.000791""","=""L22715c201"""
"=""1s.33i""","=""1I""","=""6""",13,"=""[""","=""24.57489695763729""","=""]""","=""0.00000000000025""","=""002001.000766""","=""L22715c201"""
"=""1s.33p""","=""1P*""","=""1""",3,"=""[""","=""24.5749061561969""","=""]""","=""0.0000000000005""","=""002001.000266""","=""L22715c201"""
"=""1s.34s""","=""3S""","=""1""",3,"=""[""","=""24.575412893719""","=""]""","=""0.000000000007""","=""002001.000247""","=""L22715c201"""
"=""1s.34s""","=""1S""","=""0""",1,"=""[""","=""24.575523658875""","=""]""","=""0.000000000009""","=""002001.000222""","=""L22715c201"""
"=""1s.34p""","=""3P*""","=""2""",5,"=""[""","=""24.575573540123""","=""]""","=""0.000000000003""","=""002001.000342""","=""L22715c201"""
"=""1s.34p""","=""3P*""","=""1""",3,"=""[""","=""24.575573541814""","=""]""","=""0.000000000003""","=""002001.000317""","=""L22715c201"""
"=""1s.34p""","=""3P*""","=""0""",1,"=""[""","=""24.575573562612""","=""]""","=""0.000000000003""","=""002001.000292""","=""L22715c201"""
"=""1s.34d""","=""3D""","=""3""",7,"=""[""","=""24.5756189954825""","=""]""","=""0.0000000000004""","=""002001.000442""","=""L22715c201"""
"=""1s.34d""","=""3D""","=""2""",5,"=""[""","=""24.5756189957502""","=""]""","=""0.0000000000004""","=""002001.000417""","=""L22715c201"""
"=""1s.34d""","=""3D""","=""1""",3,"=""[""","=""24.5756189994624""","=""]""","=""0.0000000000004""","=""002001.000392""","=""L22715c201"""
"=""1s.34d""","=""1D""","=""2""",5,"=""[""","=""24.57561953216943""","=""]""","=""0.00000000000025""","=""002001.000367""","=""L22715c201"""
"=""1s.34f""","=""3F*""","=""3""",7,"=""[""","=""24.57562068390626""","=""]""","=""0.00000000000025""","=""002001.000517""","=""L22715c201"""
"=""1s.34f""","=""3F*""","=""4""",9,"=""[""","=""24.57562068475431""","=""]""","=""0.00000000000025""","=""002001.000542""","=""L22715c201"""
"=""1s.34f""","=""3F*""","=""2""",5,"=""[""","=""24.57562068649158""","=""]""","=""0.00000000000025""","=""002001.000492""","=""L22715c201"""
"=""1s.34f""","=""1F*""","=""3""",7,"=""[""","=""24.57562068962851""","=""]""","=""0.00000000000025""","=""002001.000467""","=""L22715c201"""
"=""1s.34g""","=""3G""","=""4""",9,"=""[""","=""24.57562090478771""","=""]""","=""0.00000000000025""","=""002001.000617""","=""L22715c201"""
