Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s2.2p3.(2D*).5f""","=""2[5/2]""","=""2""",5,"=""""","=""37.01506""","=""""","=""""","=""009002.000264""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[1/2]""","=""1""",3,"=""""","=""37.01532""","=""""","=""""","=""009002.000265""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[1/2]""","=""0""",1,"=""""","=""37.01537""","=""""","=""""","=""009002.000266""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[7/2]""","=""3""",7,"=""""","=""37.01763""","=""""","=""""","=""009002.000267""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[7/2]""","=""4""",9,"=""""","=""37.01778""","=""""","=""""","=""009002.000268""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[5/2]""","=""2""",5,"=""""","=""37.01863""","=""""","=""""","=""009002.000269""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[5/2]""","=""3""",7,"=""""","=""37.01873""","=""""","=""""","=""009002.000270""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[9/2]""","=""5""",11,"=""""","=""37.01916""","=""""","=""""","=""009002.000271""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[9/2]""","=""4""",9,"=""""","=""37.01918""","=""""","=""""","=""009002.000272""","="""""
"=""2s2.2p3.(2D*).5g""","=""2[13/2]*""","=""7""",15,"=""""","=""37.01926""","=""""","=""""","=""009002.000273""","="""""
"=""2s2.2p3.(2D*).5g""","=""2[13/2]*""","=""6""",13,"=""""","=""37.01926""","=""""","=""""","=""009002.000274""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[3/2]""","=""1""",3,"=""""","=""37.02050""","=""""","=""""","=""009002.000275""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[3/2]""","=""2""",5,"=""""","=""37.02059""","=""""","=""""","=""009002.000276""","="""""
"=""2s2.2p3.(2D*).5g""","=""2[11/2]*""","=""6""",13,"=""""","=""37.02355""","=""""","=""""","=""009002.000277""","="""""
"=""2s2.2p3.(2D*).5g""","=""2[11/2]*""","=""5""",11,"=""""","=""37.02355""","=""""","=""""","=""009002.000278""","="""""
"=""2s2.2p3.(2P*).4f""","=""a""","=""3""",7,"=""""","=""37.951302""","=""""","=""""","=""009002.000279""","="""""
"=""2s2.2p3.(2P*).4f""","=""a""","=""5""",11,"=""""","=""37.951577""","=""""","=""""","=""009002.000280""","="""""
"=""2s2.2p3.(2P*).4f""","=""a""","=""4""",9,"=""""","=""37.951776""","=""""","=""""","=""009002.000281""","="""""
"=""2s2.2p3.(2P*).4f""","=""a""","=""2""",5,"=""""","=""37.952416""","=""""","=""""","=""009002.000282""","="""""
"=""2s2.2p3.(2P*).4f""","=""a""","=""1""",3,"=""""","=""37.953908""","=""""","=""""","=""009002.000287""","="""""
"=""2s2.2p3.(2P*).4f""","=""b""","=""3""",7,"=""""","=""37.952518""","=""""","=""""","=""009002.000283""","="""""
"=""2s2.2p3.(2P*).4f""","=""b""","=""4""",9,"=""""","=""37.952774""","=""""","=""""","=""009002.000284""","="""""
"=""2s2.2p3.(2P*).4f""","=""b""","=""2""",5,"=""""","=""37.953484""","=""""","=""""","=""009002.000285""","="""""
"=""2s2.2p3.(2P*).4f""","=""c""","=""2""",5,"=""""","=""37.953632""","=""""","=""""","=""009002.000286""","="""""
"=""2s2.2p3.(2P*).4f""","=""c""","=""3""",7,"=""""","=""37.954296""","=""""","=""""","=""009002.000288""","="""""
"=""2s2.2p3.(2P*).4f""","=""c""","=""4""",9,"=""""","=""37.954936""","=""""","=""""","=""009002.000290""","="""""
"=""2s2.2p3.(2P*).4f""","=""d""","=""3""",7,"=""""","=""37.954742""","=""""","=""""","=""009002.000289""","="""""
"=""2p6""","=""1S""","=""0""",1,"=""""","=""48.1059""","=""""","=""""","=""009002.000291""","="""""
