Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s2.2p3.(4S*).4p""","=""5P""","=""3""",7,"=""""","=""30.186342""","=""""","=""""","=""009002.000049""","="""""
"=""2s2.2p3.(2D*).3p""","=""1D""","=""2""",5,"=""""","=""30.535278""","=""""","=""""","=""009002.000050""","="""""
"=""2s2.2p3.(4S*).4p""","=""3P""","=""0""",1,"=""""","=""30.581290""","=""""","=""""","=""009002.000051""","="""""
"=""2s2.2p3.(4S*).4p""","=""3P""","=""1""",3,"=""""","=""30.582192""","=""""","=""""","=""009002.000052""","="""""
"=""2s2.2p3.(4S*).4p""","=""3P""","=""2""",5,"=""""","=""30.584682""","=""""","=""""","=""009002.000053""","="""""
"=""2s2.2p3.(2P*).3p""","=""3S""","=""1""",3,"=""""","=""31.406745""","=""""","=""""","=""009002.000054""","="""""
"=""2s2.2p3.(4S*).4d""","=""5D*""","=""4""",9,"=""""","=""31.426853""","=""""","=""""","=""009002.000055""","="""""
"=""2s2.2p3.(4S*).4d""","=""5D*""","=""3""",7,"=""""","=""31.426929""","=""""","=""""","=""009002.000056""","="""""
"=""2s2.2p3.(4S*).4d""","=""5D*""","=""2""",5,"=""""","=""31.427014""","=""""","=""""","=""009002.000057""","="""""
"=""2s2.2p3.(4S*).4d""","=""5D*""","=""1""",3,"=""""","=""31.427014""","=""""","=""""","=""009002.000058""","="""""
"=""2s2.2p3.(4S*).4d""","=""5D*""","=""0""",1,"=""""","=""31.427014""","=""""","=""""","=""009002.000059""","="""""
"=""2s2.2p3.(4S*).4d""","=""3D*""","=""1""",3,"=""""","=""31.493825""","=""""","=""""","=""009002.000060""","="""""
"=""2s2.2p3.(4S*).4d""","=""3D*""","=""2""",5,"=""""","=""31.493896""","=""""","=""""","=""009002.000061""","="""""
"=""2s2.2p3.(4S*).4d""","=""3D*""","=""3""",7,"=""""","=""31.494030""","=""""","=""""","=""009002.000062""","="""""
"=""2s2.2p3.(4S*).4f""","=""5F""","=""5""",11,"=""""","=""31.559105""","=""""","=""""","=""009002.000063""","="""""
"=""2s2.2p3.(4S*).4f""","=""5F""","=""4""",9,"=""""","=""31.559113""","=""""","=""""","=""009002.000064""","="""""
"=""2s2.2p3.(4S*).4f""","=""5F""","=""2""",5,"=""""","=""31.559118""","=""""","=""""","=""009002.000065""","="""""
"=""2s2.2p3.(4S*).4f""","=""5F""","=""3""",7,"=""""","=""31.559119""","=""""","=""""","=""009002.000066""","="""""
"=""2s2.2p3.(4S*).4f""","=""5F""","=""1""",3,"=""""","=""31.559129""","=""""","=""""","=""009002.000067""","="""""
"=""2s2.2p3.(4S*).4f""","=""3F""","=""4""",9,"=""""","=""31.559698""","=""""","=""""","=""009002.000068""","="""""
"=""2s2.2p3.(4S*).4f""","=""3F""","=""3""",7,"=""""","=""31.559723""","=""""","=""""","=""009002.000069""","="""""
"=""2s2.2p3.(4S*).4f""","=""3F""","=""2""",5,"=""""","=""31.559743""","=""""","=""""","=""009002.000070""","="""""
"=""2s2.2p3.(2P*).3p""","=""3D""","=""3""",7,"=""""","=""31.578976""","=""""","=""""","=""009002.000071""","="""""
"=""2s2.2p3.(2P*).3p""","=""3D""","=""2""",5,"=""""","=""31.580843""","=""""","=""""","=""009002.000072""","="""""
"=""2s2.2p3.(2P*).3p""","=""3D""","=""1""",3,"=""""","=""31.581662""","=""""","=""""","=""009002.000073""","="""""
"=""2s2.2p3.(4S*).5s""","=""5S*""","=""2""",5,"=""""","=""31.677789""","=""""","=""""","=""009002.000074""","="""""
"=""2s2.2p3.(2P*).3p""","=""1P""","=""1""",3,"=""""","=""31.691135""","=""""","=""""","=""009002.000075""","="""""
"=""2s2.2p3.(4S*).5s""","=""3S*""","=""1""",3,"=""""","=""31.772496""","=""""","=""""","=""009002.000076""","="""""
"=""2s2.2p3.(2P*).3p""","=""3P""","=""0""",1,"=""""","=""31.895287""","=""""","=""""","=""009002.000077""","="""""
"=""2s2.2p3.(2P*).3p""","=""3P""","=""1""",3,"=""""","=""31.897080""","=""""","=""""","=""009002.000078""","="""""
"=""2s2.2p3.(2P*).3p""","=""3P""","=""2""",5,"=""""","=""31.899999""","=""""","=""""","=""009002.000079""","="""""
"=""2s2.2p3.(2P*).3p""","=""1D""","=""2""",5,"=""""","=""32.103242""","=""""","=""""","=""009002.000080""","="""""
"=""2s2.2p3.(4S*).5p""","=""5P""","=""1""",3,"=""""","=""32.134179""","=""""","=""""","=""009002.000081""","="""""
"=""2s2.2p3.(4S*).5p""","=""5P""","=""2""",5,"=""""","=""32.134406""","=""""","=""""","=""009002.000082""","="""""
"=""2s2.2p3.(4S*).5p""","=""5P""","=""3""",7,"=""""","=""32.134771""","=""""","=""""","=""009002.000083""","="""""
"=""2s2.2p3.(4S*).5p""","=""3P""","=""2""",5,"=""""","=""32.297483""","=""""","=""""","=""009002.000084""","="""""
"=""2s2.2p3.(4S*).5p""","=""3P""","=""1""",3,"=""""","=""32.299391""","=""""","=""""","=""009002.000085""","="""""
"=""2s2.2p3.(4S*).5p""","=""3P""","=""0""",1,"=""""","=""32.300438""","=""""","=""""","=""009002.000086""","="""""
"=""2s2.2p3.(4S*).5d""","=""5D*""","=""4""",9,"=""""","=""32.716247""","=""""","=""""","=""009002.000087""","="""""
"=""2s2.2p3.(4S*).5d""","=""5D*""","=""3""",7,"=""""","=""32.716289""","=""""","=""""","=""009002.000088""","="""""
"=""2s2.2p3.(4S*).5d""","=""5D*""","=""2""",5,"=""""","=""32.716289""","=""""","=""""","=""009002.000089""","="""""
"=""2s2.2p3.(4S*).5d""","=""5D*""","=""1""",3,"=""""","=""32.71632""","=""""","=""""","=""009002.000090""","="""""
"=""2s2.2p3.(4S*).5d""","=""5D*""","=""0""",1,"=""""","=""32.71632""","=""""","=""""","=""009002.000091""","="""""
"=""2s2.2p3.(4S*).5d""","=""3D*""","=""3""",7,"=""""","=""32.740832""","=""""","=""""","=""009002.000092""","="""""
"=""2s2.2p3.(4S*).5d""","=""3D*""","=""2""",5,"=""""","=""32.741171""","=""""","=""""","=""009002.000093""","="""""
"=""2s2.2p3.(4S*).5d""","=""3D*""","=""1""",3,"=""""","=""32.741457""","=""""","=""""","=""009002.000094""","="""""
"=""2s2.2p3.(4S*).5f""","=""5F""","=""5""",11,"=""""","=""32.787745""","=""""","=""""","=""009002.000095""","="""""
"=""2s2.2p3.(4S*).5f""","=""5F""","=""4""",9,"=""""","=""32.787745""","=""""","=""""","=""009002.000096""","="""""
"=""2s2.2p3.(4S*).5f""","=""5F""","=""3""",7,"=""""","=""32.787758""","=""""","=""""","=""009002.000097""","="""""
"=""2s2.2p3.(4S*).5f""","=""5F""","=""2""",5,"=""""","=""32.787758""","=""""","=""""","=""009002.000098""","="""""
"=""2s2.2p3.(4S*).5f""","=""5F""","=""1""",3,"=""""","=""32.787758""","=""""","=""""","=""009002.000099""","="""""
"=""2s2.2p3.(4S*).5f""","=""3F""","=""4""",9,"=""""","=""32.788360""","=""""","=""""","=""009002.000100""","="""""
"=""2s2.2p3.(4S*).5f""","=""3F""","=""3""",7,"=""""","=""32.788389""","=""""","=""""","=""009002.000101""","="""""
"=""2s2.2p3.(4S*).5f""","=""3F""","=""2""",5,"=""""","=""32.788389""","=""""","=""""","=""009002.000102""","="""""
"=""2s2.2p3.(4S*).5g""","=""5G*""","=""2""",5,"=""""","=""32.792697""","=""""","=""""","=""009002.000103""","="""""
"=""2s2.2p3.(4S*).5g""","=""5G*""","=""3""",7,"=""""","=""32.792697""","=""""","=""""","=""009002.000104""","="""""
"=""2s2.2p3.(4S*).5g""","=""5G*""","=""4""",9,"=""""","=""32.792697""","=""""","=""""","=""009002.000105""","="""""
"=""2s2.2p3.(4S*).5g""","=""5G*""","=""5""",11,"=""""","=""32.792697""","=""""","=""""","=""009002.000106""","="""""
"=""2s2.2p3.(4S*).5g""","=""5G*""","=""6""",13,"=""""","=""32.792697""","=""""","=""""","=""009002.000107""","="""""
"=""2s2.2p3.(4S*).5g""","=""3G*""","=""3""",7,"=""""","=""32.792706""","=""""","=""""","=""009002.000108""","="""""
"=""2s2.2p3.(4S*).5g""","=""3G*""","=""4""",9,"=""""","=""32.792706""","=""""","=""""","=""009002.000109""","="""""
"=""2s2.2p3.(4S*).5g""","=""3G*""","=""5""",11,"=""""","=""32.792706""","=""""","=""""","=""009002.000110""","="""""
"=""2s2.2p3.(2D*).3d""","=""3F*""","=""2""",5,"=""""","=""32.849947""","=""""","=""""","=""009002.000111""","="""""
"=""2s2.2p3.(2D*).3d""","=""3F*""","=""3""",7,"=""""","=""32.850641""","=""""","=""""","=""009002.000112""","="""""
"=""2s2.2p3.(2D*).3d""","=""3F*""","=""4""",9,"=""""","=""32.851557""","=""""","=""""","=""009002.000113""","="""""
"=""2s2.2p3.(4S*).6s""","=""5S*""","=""2""",5,"=""""","=""32.852003""","=""""","=""""","=""009002.000114""","="""""
"=""2s2.2p3.(2D*).3d""","=""1S*""","=""0""",1,"=""""","=""32.855101""","=""""","=""""","=""009002.000115""","="""""
"=""2s2.2p3.(2D*).3d""","=""3G*""","=""5""",11,"=""""","=""32.887508""","=""""","=""""","=""009002.000116""","="""""
"=""2s2.2p3.(2D*).3d""","=""3G*""","=""4""",9,"=""""","=""32.888962""","=""""","=""""","=""009002.000117""","="""""
"=""2s2.2p3.(2D*).3d""","=""3G*""","=""3""",7,"=""""","=""32.891628""","=""""","=""""","=""009002.000118""","="""""
"=""2s2.2p3.(2D*).3d""","=""1G*""","=""4""",9,"=""""","=""32.894215""","=""""","=""""","=""009002.000119""","="""""
"=""2s2.2p3.(4S*).6s""","=""3S*""","=""1""",3,"=""""","=""32.900144""","=""""","=""""","=""009002.000120""","="""""
"=""2s2.2p3.(2D*).3d""","=""3D*""","=""3""",7,"=""""","=""32.914372""","=""""","=""""","=""009002.000121""","="""""
"=""2s2.2p3.(2D*).3d""","=""3D*""","=""2""",5,"=""""","=""32.917608""","=""""","=""""","=""009002.000122""","="""""
