Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""",2,"=""""","=""28.8525664""","=""""","=""""","=""008002.000055""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""",4,"=""""","=""28.8568239""","=""""","=""""","=""008002.000056""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""",6,"=""""","=""28.8570199""","=""""","=""""","=""008002.000057""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""",8,"=""""","=""28.8577953""","=""""","=""""","=""008002.000058""","="""""
"=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""",6,"=""""","=""28.8630624""","=""""","=""""","=""008002.000059""","="""""
"=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""",8,"=""""","=""28.8832609""","=""""","=""""","=""008002.000060""","="""""
"=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",4,"=""""","=""28.941697""","=""""","=""""","=""008002.000061""","="""""
"=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""",2,"=""""","=""28.955839""","=""""","=""""","=""008002.000062""","="""""
"=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",4,"=""""","=""29.0622429""","=""""","=""""","=""008002.000063""","="""""
"=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",6,"=""""","=""29.0686699""","=""""","=""""","=""008002.000064""","="""""
"=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""",2,"=""""","=""29.586034""","=""""","=""""","=""008002.000065""","="""""
"=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""",4,"=""""","=""29.599076""","=""""","=""""","=""008002.000066""","="""""
"=""2s2.2p2.(3P).4s""","=""4P""","=""5/2""",6,"=""""","=""29.619076""","=""""","=""""","=""008002.000067""","="""""
"=""2s2.2p2.(3P).4s""","=""2P""","=""1/2""",2,"=""""","=""29.797124""","=""""","=""""","=""008002.000068""","="""""
"=""2s2.2p2.(3P).4s""","=""2P""","=""3/2""",4,"=""""","=""29.820351""","=""""","=""""","=""008002.000069""","="""""
"=""2s2.2p2.(3P).4p""","=""2S*""","=""1/2""",2,"=""""","=""30.380752""","=""""","=""""","=""008002.000070""","="""""
"=""2s.2p3.(5S*).3s""","=""6S*""","=""5/2""",6,"=""""","=""30.425722""","=""+x""","=""""","=""008002.000071""","="""""
"=""2s2.2p2.(3P).4p""","=""4D*""","=""1/2""",2,"=""""","=""30.471394""","=""""","=""""","=""008002.000072""","="""""
"=""2s2.2p2.(3P).4p""","=""4D*""","=""3/2""",4,"=""""","=""30.477387""","=""""","=""""","=""008002.000073""","="""""
