Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s2.2p2.(3P).7p""","=""4D*""","=""7/2""",8,"=""""","=""14.20184""","=""""","=""""","=""007001.000217""","="""""
"=""2s2.2p2.(3P).8s""","=""4P""","=""1/2""",2,"=""""","=""14.24504""","=""""","=""""","=""007001.000218""","="""""
"=""2s2.2p2.(3P).8s""","=""4P""","=""3/2""",4,"=""""","=""14.25063""","=""""","=""""","=""007001.000219""","="""""
"=""2s2.2p2.(3P).8s""","=""4P""","=""5/2""",6,"=""""","=""14.26082""","=""""","=""""","=""007001.000229""","="""""
"=""2s2.2p2.(3P).7d""","=""4F""","=""3/2""",4,"=""""","=""14.25229""","=""""","=""""","=""007001.000220""","="""""
"=""2s2.2p2.(3P).7d""","=""4F""","=""5/2""",6,"=""""","=""14.25310""","=""""","=""""","=""007001.000221""","="""""
"=""2s2.2p2.(3P).7d""","=""4F""","=""7/2""",8,"=""""","=""14.25863""","=""""","=""""","=""007001.000225""","="""""
"=""2s2.2p2.(3P).7d""","=""4F""","=""9/2""",10,"=""""","=""14.26775""","=""""","=""""","=""007001.000231""","="""""
"=""2s2.2p2.(3P).8s""","=""2P""","=""1/2""",2,"=""""","=""14.25361""","=""""","=""""","=""007001.000222""","="""""
"=""2s2.2p2.(3P).8s""","=""2P""","=""3/2""",4,"=""""","=""14.26232""","=""""","=""""","=""007001.000230""","="""""
"=""2s2.2p2.(3P).7d""","=""2P""","=""3/2""",4,"=""""","=""14.25729""","=""""","=""""","=""007001.000223""","="""""
"=""2s2.2p2.(3P).7d""","=""2P""","=""1/2""",2,"=""""","=""14.25941""","=""""","=""""","=""007001.000226""","="""""
"=""2s2.2p2.(3P).7d""","=""2F""","=""5/2""",6,"=""""","=""14.25855""","=""""","=""""","=""007001.000224""","="""""
"=""2s2.2p2.(3P).7d""","=""2F""","=""7/2""",8,"=""""","=""14.26896""","=""""","=""""","=""007001.000232""","="""""
"=""2s2.2p2.(3P).7d""","=""4P""","=""1/2""",2,"=""""","=""""","=""""","=""""","=""007001.000010""","="""""
"=""2s2.2p2.(3P).7d""","=""4P""","=""5/2""",6,"=""""","=""14.25955""","=""""","=""""","=""007001.000227""","="""""
"=""2s2.2p2.(3P).7d""","=""4P""","=""3/2""",4,"=""""","=""14.26050""","=""""","=""""","=""007001.000228""","="""""
"=""2s2.2p2.(3P).7d""","=""4D""","=""1/2""",2,"=""""","=""14.26975""","=""""","=""""","=""007001.000233""","="""""
"=""2s2.2p2.(3P).7d""","=""4D""","=""7/2""",8,"=""""","=""14.26989""","=""""","=""""","=""007001.000234""","="""""
"=""2s2.2p2.(3P).7d""","=""4D""","=""3/2""",4,"=""""","=""14.26990""","=""""","=""""","=""007001.000235""","="""""
"=""2s2.2p2.(3P).7d""","=""4D""","=""5/2""",6,"=""""","=""14.26991""","=""""","=""""","=""007001.000236""","="""""
"=""2s2.2p2.(3P).7d""","=""2D""","=""3/2""",4,"=""""","=""14.27058""","=""""","=""""","=""007001.000237""","="""""
"=""2s2.2p2.(3P).7d""","=""2D""","=""5/2""",6,"=""""","=""14.27135""","=""""","=""""","=""007001.000238""","="""""
"=""2s2.2p2.(3P).9s""","=""4P""","=""1/2""",2,"=""""","=""14.31391""","=""""","=""""","=""007001.000239""","="""""
"=""2s2.2p2.(3P).9s""","=""4P""","=""3/2""",4,"=""""","=""14.31962""","=""""","=""""","=""007001.000242""","="""""
"=""2s2.2p2.(3P).9s""","=""4P""","=""5/2""",6,"=""""","=""14.32967""","=""""","=""""","=""007001.000248""","="""""
"=""2s2.2p2.(3P).9s""","=""2P""","=""1/2""",2,"=""""","=""14.318""","=""""","=""""","=""007001.000240""","="""""
"=""2s2.2p2.(3P).9s""","=""2P""","=""3/2""",4,"=""""","=""14.318""","=""""","=""""","=""007001.000241""","="""""
"=""2s2.2p2.(3P).8d""","=""4F""","=""3/2""",4,"=""""","=""""","=""""","=""""","=""007001.000011""","="""""
"=""2s2.2p2.(3P).8d""","=""4F""","=""5/2""",6,"=""""","=""14.31962""","=""""","=""""","=""007001.000243""","="""""
"=""2s2.2p2.(3P).8d""","=""4F""","=""7/2""",8,"=""""","=""14.32486""","=""""","=""""","=""007001.000246""","="""""
"=""2s2.2p2.(3P).8d""","=""4F""","=""9/2""",10,"=""""","=""14.33422""","=""""","=""""","=""007001.000250""","="""""
"=""2s2.2p2.(3P).8d""","=""2P""","=""1/2""",2,"=""""","=""14.324""","=""""","=""""","=""007001.000244""","="""""
"=""2s2.2p2.(3P).8d""","=""2P""","=""3/2""",4,"=""""","=""14.32456""","=""""","=""""","=""007001.000245""","="""""
"=""2s2.2p2.(3P).8d""","=""2F""","=""5/2""",6,"=""""","=""14.32494""","=""""","=""""","=""007001.000247""","="""""
"=""2s2.2p2.(3P).8d""","=""2F""","=""7/2""",8,"=""""","=""14.33513""","=""""","=""""","=""007001.000254""","="""""
"=""2s2.2p2.(3P).8d""","=""2D""","=""3/2""",4,"=""""","=""14.3322""","=""""","=""""","=""007001.000249""","="""""
"=""2s2.2p2.(3P).8d""","=""2D""","=""5/2""",6,"=""""","=""14.33673""","=""""","=""""","=""007001.000259""","="""""
"=""2s2.2p2.(3P).8d""","=""4P""","=""1/2""",2,"=""""","=""14.3348""","=""""","=""""","=""007001.000251""","="""""
"=""2s2.2p2.(3P).8d""","=""4P""","=""3/2""",4,"=""""","=""14.3348""","=""""","=""""","=""007001.000252""","="""""
"=""2s2.2p2.(3P).8d""","=""4P""","=""5/2""",6,"=""""","=""14.3348""","=""""","=""""","=""007001.000253""","="""""
"=""2s2.2p2.(3P).8d""","=""4D""","=""1/2""",2,"=""""","=""14.33561""","=""""","=""""","=""007001.000255""","="""""
"=""2s2.2p2.(3P).8d""","=""4D""","=""3/2""",4,"=""""","=""14.33591""","=""""","=""""","=""007001.000256""","="""""
"=""2s2.2p2.(3P).8d""","=""4D""","=""5/2""",6,"=""""","=""14.33591""","=""""","=""""","=""007001.000257""","="""""
"=""2s2.2p2.(3P).8d""","=""4D""","=""7/2""",8,"=""""","=""14.33601""","=""""","=""""","=""007001.000258""","="""""
"=""2s2.2p2.(3P).10s""","=""4P""","=""1/2""",2,"=""""","=""14.36100""","=""""","=""""","=""007001.000260""","="""""
"=""2s2.2p2.(3P).10s""","=""4P""","=""3/2""",4,"=""""","=""14.36685""","=""""","=""""","=""007001.000263""","="""""
"=""2s2.2p2.(3P).10s""","=""4P""","=""5/2""",6,"=""""","=""14.37661""","=""""","=""""","=""007001.000272""","="""""
"=""2s2.2p2.(3P).10s""","=""2P""","=""1/2""",2,"=""""","=""14.3626""","=""""","=""""","=""007001.000261""","="""""
"=""2s2.2p2.(3P).10s""","=""2P""","=""3/2""",4,"=""""","=""14.3626""","=""""","=""""","=""007001.000262""","="""""
"=""2s2.2p2.(3P).9d""","=""4D""","=""1/2""",2,"=""""","=""14.3682""","=""""","=""""","=""007001.000264""","="""""
"=""2s2.2p2.(3P).9d""","=""4D""","=""3/2""",4,"=""""","=""14.3682""","=""""","=""""","=""007001.000265""","="""""
"=""2s2.2p2.(3P).9d""","=""4D""","=""5/2""",6,"=""""","=""14.3682""","=""""","=""""","=""007001.000266""","="""""
"=""2s2.2p2.(3P).9d""","=""4D""","=""7/2""",8,"=""""","=""14.3682""","=""""","=""""","=""007001.000267""","="""""
"=""2s2.2p2.(3P).9d""","=""2P""","=""1/2""",2,"=""""","=""14.3684""","=""""","=""""","=""007001.000268""","="""""
"=""2s2.2p2.(3P).9d""","=""2P""","=""3/2""",4,"=""""","=""14.3684""","=""""","=""""","=""007001.000269""","="""""
