Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s2.2p.(2P*<1/2>).6f""","=""2[7/2]""","=""4""",9,"=""""","=""28.081440""","=""""","=""""","=""007002.000151""","="""""
"=""2s2.2p.(2P*<3/2>).6f""","=""2[7/2]""","=""3""",7,"=""""","=""28.099806""","=""""","=""""","=""007002.000152""","="""""
"=""2s2.2p.(2P*<3/2>).6f""","=""2[7/2]""","=""4""",9,"=""""","=""28.100182""","=""""","=""""","=""007002.000153""","="""""
"=""2s2.2p.(2P*<3/2>).6f""","=""2[5/2]""","=""3""",7,"=""""","=""28.104241""","=""""","=""""","=""007002.000154""","="""""
"=""2s2.2p.(2P*<3/2>).6f""","=""2[5/2]""","=""2""",5,"=""""","=""28.10454""","=""""","=""""","=""007002.000155""","="""""
"=""2s2.2p.(2P*<3/2>).6f""","=""2[9/2]""","=""5""",11,"=""""","=""28.10584""","=""""","=""""","=""007002.000156""","="""""
"=""2s2.2p.(2P*<3/2>).6f""","=""2[9/2]""","=""4""",9,"=""""","=""28.10675""","=""""","=""""","=""007002.000157""","="""""
"=""2s2.2p.(2P*<3/2>).6f""","=""2[3/2]""","=""1""",3,"=""""","=""28.10952""","=""""","=""""","=""007002.000158""","="""""
"=""2s2.2p.(2P*<3/2>).6f""","=""2[3/2]""","=""2""",5,"=""""","=""28.10980""","=""""","=""""","=""007002.000159""","="""""
"=""2s.2p2.(4P).3p""","=""3D*""","=""1""",3,"=""""","=""28.354479""","=""""","=""""","=""007002.000160""","="""""
"=""2s.2p2.(4P).3p""","=""3D*""","=""2""",5,"=""""","=""28.359130""","=""""","=""""","=""007002.000161""","="""""
"=""2s.2p2.(4P).3p""","=""3D*""","=""3""",7,"=""""","=""28.366572""","=""""","=""""","=""007002.000162""","="""""
"=""2s2.2p.(2P*<1/2>).7f""","=""2[7/2]""","=""3""",7,"=""""","=""28.48523""","=""""","=""""","=""007002.000163""","="""""
"=""2s2.2p.(2P*<1/2>).7f""","=""2[7/2]""","=""4""",9,"=""""","=""28.48533""","=""""","=""""","=""007002.000164""","="""""
"=""2s.2p2.(4P).3p""","=""5S*""","=""2""",5,"=""""","=""28.496399""","=""""","=""""","=""007002.000165""","="""""
"=""2s2.2p.(2P*<3/2>).7f""","=""2[7/2]""","=""4""",9,"=""""","=""28.50490""","=""""","=""""","=""007002.000166""","="""""
"=""2s2.2p.(2P*<3/2>).7f""","=""2[9/2]""","=""5""",11,"=""""","=""28.50869""","=""""","=""""","=""007002.000167""","="""""
"=""2s2.2p.(2P*<3/2>).7f""","=""2[9/2]""","=""4""",9,"=""""","=""28.50931""","=""""","=""""","=""007002.000168""","="""""
"=""2s.2p2.(4P).3p""","=""3P*""","=""1""",3,"=""""","=""""","=""""","=""""","=""007002.000005""","="""""
"=""2s.2p2.(4P).3p""","=""3P*""","=""0""",1,"=""""","=""""","=""""","=""""","=""007002.000004""","="""""
"=""2s.2p2.(4P).3p""","=""3P*""","=""2""",5,"=""""","=""28.619488""","=""""","=""""","=""007002.000169""","="""""
"=""N III (2p 2P*<1/2>)""","=""Limit""","=""---""",,"=""[""","=""29.60125""","=""]""","=""0.00009""","=""007002.Lim001""","=""L11770"""
"=""N III (2p 2P*<3/2>)""","=""Limit""","=""---""",,"=""""","=""29.622907""","=""""","=""""","=""007002.Lim002""","="""""
"=""2s.2p2.(4P).3d""","=""5F""","=""1""",3,"=""""","=""30.124337""","=""""","=""""","=""007002.000172""","="""""
"=""2s.2p2.(4P).3d""","=""5F""","=""2""",5,"=""""","=""30.126519""","=""""","=""""","=""007002.000173""","="""""
"=""2s.2p2.(4P).3d""","=""5F""","=""3""",7,"=""""","=""30.129743""","=""""","=""""","=""007002.000174""","="""""
"=""2s.2p2.(4P).3d""","=""5F""","=""4""",9,"=""""","=""30.133933""","=""""","=""""","=""007002.000175""","="""""
"=""2s.2p2.(4P).3d""","=""5F""","=""5""",11,"=""""","=""30.138939""","=""""","=""""","=""007002.000176""","="""""
"=""2s.2p2.(4P).3d""","=""5P""","=""3""",7,"=""""","=""30.295949""","=""""","=""""","=""007002.000177""","="""""
"=""2s.2p2.(4P).3d""","=""5P""","=""2""",5,"=""""","=""30.300731""","=""""","=""""","=""007002.000178""","="""""
"=""2s.2p2.(4P).3d""","=""5P""","=""1""",3,"=""""","=""30.304034""","=""""","=""""","=""007002.000179""","="""""
"=""2s.2p2.(4P).3d""","=""5D""","=""0""",1,"=""""","=""30.368161""","=""""","=""""","=""007002.000180""","="""""
"=""2s.2p2.(4P).3d""","=""5D""","=""1""",3,"=""""","=""30.368676""","=""""","=""""","=""007002.000181""","="""""
"=""2s.2p2.(4P).3d""","=""5D""","=""2""",5,"=""""","=""30.369653""","=""""","=""""","=""007002.000182""","="""""
"=""2s.2p2.(4P).3d""","=""5D""","=""3""",7,"=""""","=""30.371039""","=""""","=""""","=""007002.000183""","="""""
"=""2s.2p2.(4P).3d""","=""5D""","=""4""",9,"=""""","=""30.372819""","=""""","=""""","=""007002.000184""","="""""
"=""2s.2p2.(4P).4f""","=""5G*""","=""2""",5,"=""""","=""""","=""""","=""""","=""007002.000006""","="""""
"=""2s.2p2.(4P).4f""","=""5G*""","=""3""",7,"=""""","=""""","=""""","=""""","=""007002.000007""","="""""
"=""2s.2p2.(4P).4f""","=""5G*""","=""4""",9,"=""""","=""33.274675""","=""""","=""""","=""007002.000185""","="""""
"=""2s.2p2.(4P).4f""","=""5G*""","=""5""",11,"=""""","=""33.279324""","=""""","=""""","=""007002.000187""","="""""
"=""2s.2p2.(4P).4f""","=""5G*""","=""6""",13,"=""""","=""33.285202""","=""""","=""""","=""007002.000188""","="""""
"=""2s.2p2.(4P).4f""","=""5D*""","=""0""",1,"=""""","=""""","=""""","=""""","=""007002.000008""","="""""
"=""2s.2p2.(4P).4f""","=""5D*""","=""1""",3,"=""""","=""""","=""""","=""""","=""007002.000009""","="""""
"=""2s.2p2.(4P).4f""","=""5D*""","=""2""",5,"=""""","=""""","=""""","=""""","=""007002.000010""","="""""
"=""2s.2p2.(4P).4f""","=""5D*""","=""3""",7,"=""""","=""""","=""""","=""""","=""007002.000011""","="""""
"=""2s.2p2.(4P).4f""","=""5D*""","=""4""",9,"=""""","=""33.279252""","=""""","=""""","=""007002.000186""","="""""
"=""2s.2p2.(4P).4f""","=""5F*""","=""1""",3,"=""""","=""""","=""""","=""""","=""007002.000012""","="""""
"=""2s.2p2.(4P).4f""","=""5F*""","=""2""",5,"=""""","=""""","=""""","=""""","=""007002.000013""","="""""
"=""2s.2p2.(4P).4f""","=""5F*""","=""3""",7,"=""""","=""33.316540""","=""""","=""""","=""007002.000189""","="""""
