Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s2.2p5.(2P*<3/2>).15d""","=""2[3/2]*""","=""1""",3,"=""""","=""21.503911""","=""""","=""0.000022""","=""010001.000330""","=""L8826"""
"=""2s2.2p5.(2P*<3/2>).15d""","=""2[1/2]*""","=""1""",3,"=""""","=""21.503959""","=""""","=""0.000022""","=""010001.000331""","=""L8826"""
"=""2s2.2p5.(2P*<3/2>).17s""","=""2[3/2]*""","=""1""",3,"=""""","=""21.509410""","=""""","=""0.000022""","=""010001.000332""","=""L8826"""
"=""2s2.2p5.(2P*<3/2>).16d""","=""2[3/2]*""","=""1""",3,"=""""","=""21.511272""","=""""","=""0.000022""","=""010001.000333""","=""L8826"""
"=""2s2.2p5.(2P*<3/2>).18s""","=""2[3/2]*""","=""1""",3,"=""""","=""21.515766""","=""""","=""0.000022""","=""010001.000334""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).11s""","=""2[1/2]*""","=""1""",3,"=""""","=""21.516611""","=""""","=""0.000022""","=""010001.000335""","=""L8826"""
"=""2s2.2p5.(2P*<3/2>).17d""","=""2[3/2]*""","=""1""",3,"=""""","=""21.517383""","=""""","=""0.000022""","=""010001.000336""","=""L8826"""
"=""2s2.2p5.(2P*<3/2>).19s""","=""2[3/2]*""","=""1""",3,"=""""","=""21.521178""","=""""","=""0.000022""","=""010001.000337""","=""L8826"""
"=""2s2.2p5.(2P*<3/2>).18d""","=""2[3/2]*""","=""1""",3,"=""""","=""21.522479""","=""""","=""0.000022""","=""010001.000338""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""2""",5,"=""""","=""21.524712""","=""""","=""0.000006""","=""010001.000339""","=""L8826"""
"=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""3""",7,"=""""","=""21.524716""","=""""","=""0.000009""","=""010001.000341""","=""L8826"""
