element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,ID_i,ID_k,
Ne,2,"=""655.0653""","=""0.0020""","=""655.06433""","=""0.00017""","=""140*""","=""""","=""""","=""""",,"=""302935.312""","=""318196.7724""","=""2s2.2p4.(3P<2>).4f""","=""2[5]*""","=""11/2""","=""2s2.2p4.(3P<2>).6g""","=""2[6]""","=""13/2""",12,14,,"=""""","=""L1406""","=""010002.000087""","=""010002.000230""",
Ne,2,"=""655.0653""","=""0.0020""","=""655.0657""","=""0.0018""","=""140*""","=""""","=""""","=""""",,"=""302935.2919""","=""318196.72""","=""2s2.2p4.(3P<2>).4f""","=""2[5]*""","=""9/2""","=""2s2.2p4.(3P<2>).6g""","=""2[6]""","=""11/2""",10,12,,"=""""","=""L1406""","=""010002.000086""","=""010002.000229""",
O,2,"=""655.1757""","=""""","=""655.1757""","=""""","=""4""","=""""","=""""","=""""",,"=""256125.785""","=""271384.65""","=""2s2.2p2.(3P).4f F""","=""2[3]*""","=""5/2""","=""2s2.2p2.(3P<2>).6g""","=""2[4]""","=""7/2""",6,8,,"=""""","=""L6336""","=""008002.000128""","=""008002.000226""",
Li,2,"=""""","=""""","=""655.319""","=""0.008""","=""""","=""1.7092e+07""","=""1.5414e-01""","=""-0.11310""",AAA,"=""[582630.08]""","=""[597885.61]""","=""1s.4d""","=""1D""","=""2""","=""1s.6f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""""","=""003002.000026""","=""003002.000059""",
Li,2,"=""""","=""""","=""655.364""","=""0.008""","=""""","=""6.461e+02""","=""4.163e-06""","=""-4.6816""",AA,"=""[582630.08]""","=""[597884.56]""","=""1s.4d""","=""1D""","=""2""","=""1s.6f""","=""3F*""","=""2""",5,5,,"=""T8636c73""","=""""","=""003002.000026""","=""003002.000056""",
Li,2,"=""""","=""""","=""655.364""","=""0.008""","=""""","=""3.542e+06""","=""3.194e-02""","=""-0.7966""",AA,"=""[582630.08]""","=""[597884.56]""","=""1s.4d""","=""1D""","=""2""","=""1s.6f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""""","=""003002.000026""","=""003002.000057""",
N,2,"=""""","=""""","=""655.447""","=""""","=""""","=""1.43e+06""","=""5.53e-03""","=""-1.558""",B,"=""187461.56""","=""202714.12""","=""2s2.2p.3d""","=""3D*""","=""2""","=""2s2.2p.4p""","=""3D""","=""1""",5,3,,"=""T6385n""","=""""","=""007002.000049""","=""007002.000061""",
O,2,"=""655.4619""","=""""","=""655.4599""","=""""","=""3""","=""""","=""""","=""""",,"=""256123.231""","=""271375.48""","=""2s2.2p2.(3P).4f F""","=""2[3]*""","=""7/2""","=""2s2.2p2.(3P<2>).6g""","=""2[3]""","=""7/2""",8,8,,"=""""","=""L6336""","=""008002.000127""","=""008002.000224""",
O,2,"=""655.5845""","=""""","=""655.5844""","=""""","=""7""","=""""","=""""","=""""",,"=""256136.036""","=""271385.39""","=""2s2.2p2.(3P).4f F""","=""2[4]*""","=""9/2""","=""2s2.2p2.(3P<2>).6g""","=""2[5]""","=""11/2""",10,12,,"=""""","=""L6336""","=""008002.000129""","=""008002.000229""",
O,2,"=""655.6068""","=""""","=""655.6048""","=""""","=""4*""","=""""","=""""","=""""",,"=""276109.46""","=""291358.34""","=""2s2.2p2.(1D).4f H""","=""2[5]*""","=""9/2""","=""2s2.2p2.(1D<2>).6g""","=""2[6]""","=""11/2""",10,12,,"=""""","=""L6336""","=""008002.000248""","=""008002.000279""",
O,2,"=""655.6068""","=""""","=""655.6082""","=""""","=""4*""","=""""","=""""","=""""",,"=""276109.54""","=""291358.34""","=""2s2.2p2.(1D).4f H""","=""2[5]*""","=""11/2""","=""2s2.2p2.(1D<2>).6g""","=""2[6]""","=""13/2""",12,14,,"=""""","=""L6336""","=""008002.000249""","=""008002.000278""",
O,2,"=""655.6068""","=""""","=""655.6097""","=""""","=""4*""","=""""","=""""","=""""",,"=""256136.036""","=""271384.80""","=""2s2.2p2.(3P).4f F""","=""2[4]*""","=""9/2""","=""2s2.2p2.(3P<2>).6g""","=""2[4]""","=""9/2""",10,10,,"=""""","=""L6336""","=""008002.000129""","=""008002.000227""",
Be,2,"=""655.8365""","=""0.004""","=""655.833""","=""0.004""","=""510d*""","=""""","=""""","=""""",,"=""119446.59""","=""134690.16""","=""1s2.4f""","=""2F*""","=""5/2""","=""1s2.6g""","=""2G""","=""7/2""",6,8,,"=""""","=""L12158""","=""004002.000014""","=""004002.000032""",
Be,2,"=""655.8365""","=""0.004""","=""655.839""","=""0.004""","=""510d*""","=""""","=""""","=""""",,"=""119446.72""","=""134690.16""","=""1s2.4f""","=""2F*""","=""7/2""","=""1s2.6g""","=""2G""","=""9/2""",8,10,,"=""""","=""L12158""","=""004002.000015""","=""004002.000033""",
Be,2,"=""655.8365""","=""0.004""","=""655.839""","=""0.004""","=""510d*""","=""""","=""""","=""""",,"=""119446.72""","=""134690.16""","=""1s2.4f""","=""2F*""","=""7/2""","=""1s2.6g""","=""2G""","=""7/2""",8,8,,"=""""","=""L12158""","=""004002.000015""","=""004002.000032""",
