element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,ID_i,ID_k,
C,2,"=""4.2767""","=""0.0004""","=""4.2766""","=""0.0004""","=""a*""","=""9.e+10""","=""2.3e-02""","=""-1.33""",D+,"=""0.000000""","=""2338290""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.2s2.2p2""","=""2S""","=""1/2""",2,2,,"=""T9848LS""","=""L20274""","=""006002.000001""","=""006002.000359""",
C,2,"=""4.2767""","=""0.0004""","=""4.2767""","=""0.0004""","=""a*""","=""1.7e+11""","=""2.3e-02""","=""-1.03""",D+,"=""63.395090""","=""2338290""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.2s2.2p2""","=""2S""","=""1/2""",4,2,,"=""T9848LS""","=""L20274""","=""006002.000002""","=""006002.000359""",
C,2,"=""4.2836""","=""0.0004""","=""4.2836""","=""0.0004""","=""a*""","=""6.e+10""","=""2.3e-02""","=""-1.0""",E,"=""43024.9""","=""2377500""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""5/2""",4,6,,"=""T9848LS""","=""L20274""","=""006002.000004""","=""006002.000367""",
C,2,"=""4.2836""","=""0.0004""","=""4.2836""","=""0.0004""","=""a*""","=""2.5e+10""","=""7.e-03""","=""-1.6""",E,"=""43024.9""","=""2377500""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""3/2""",4,4,,"=""T9848LS""","=""L20274""","=""006002.000004""","=""006002.000366""",
C,2,"=""4.2836""","=""0.0004""","=""4.2836""","=""0.0004""","=""a*""","=""1.5e+11""","=""2.1e-02""","=""-1.1""",E,"=""43024.9""","=""2377500""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""1/2""",4,2,,"=""T9848LS""","=""L20274""","=""006002.000004""","=""006002.000365""",
C,2,"=""4.2836""","=""0.0004""","=""4.2836""","=""0.0004""","=""a*""","=""8.e+10""","=""4.e-02""","=""-1.1""",E,"=""43002.8""","=""2377500""","=""2s.2p2""","=""4P""","=""1/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""3/2""",2,4,,"=""T9848LS""","=""L20274""","=""006002.000003""","=""006002.000366""",
C,2,"=""4.2836""","=""0.0004""","=""4.2836""","=""0.0004""","=""a*""","=""3.1e+10""","=""9.e-03""","=""-1.8""",E,"=""43002.8""","=""2377500""","=""2s.2p2""","=""4P""","=""1/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""1/2""",2,2,,"=""T9848LS""","=""L20274""","=""006002.000003""","=""006002.000365""",
C,2,"=""4.2836""","=""0.0004""","=""4.2837""","=""0.0004""","=""a*""","=""1.3e+11""","=""3.6e-02""","=""-0.7""",E,"=""43053.2""","=""2377500""","=""2s.2p2""","=""4P""","=""5/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""5/2""",6,6,,"=""T9848LS""","=""L20274""","=""006002.000005""","=""006002.000367""",
C,2,"=""4.2836""","=""0.0004""","=""4.2837""","=""0.0004""","=""a*""","=""8.e+10""","=""1.5e-02""","=""-1.0""",E,"=""43053.2""","=""2377500""","=""2s.2p2""","=""4P""","=""5/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""3/2""",6,4,,"=""T9848LS""","=""L20274""","=""006002.000005""","=""006002.000366""",
C,2,"=""4.2988""","=""0.0005""","=""4.2987""","=""0.0004""","=""a*""","=""1.4e+11""","=""7.6e-02""","=""-0.82""",D+,"=""0.000000""","=""2326280""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.2s2.2p2""","=""2P""","=""3/2""",2,4,,"=""T9848LS""","=""L20274""","=""006002.000001""","=""006002.000358""",
C,2,"=""4.2988""","=""0.0005""","=""4.2988""","=""0.0004""","=""a*""","=""6.8e+11""","=""1.9e-01""","=""-0.12""",D+,"=""63.395090""","=""2326280""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.2s2.2p2""","=""2P""","=""3/2""",4,4,,"=""T9848LS""","=""L20274""","=""006002.000002""","=""006002.000358""",
C,2,"=""4.2988""","=""0.0005""","=""4.2989""","=""0.0004""","=""a*""","=""5.5e+11""","=""1.5e-01""","=""-0.52""",D+,"=""0.000000""","=""2326190""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.2s2.2p2""","=""2P""","=""1/2""",2,2,,"=""T9848LS""","=""L20274""","=""006002.000001""","=""006002.000357""",
C,2,"=""4.2988""","=""0.0005""","=""4.2990""","=""0.0004""","=""a*""","=""2.7e+11""","=""3.8e-02""","=""-0.82""",D+,"=""63.395090""","=""2326190""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.2s2.2p2""","=""2P""","=""1/2""",4,2,,"=""T9848LS""","=""L20274""","=""006002.000002""","=""006002.000357""",
C,2,"=""4.3060""","=""0.0004""","=""4.3060""","=""0.0004""","=""a*""","=""2.5e+11""","=""1.4e-01""","=""-0.56""",D+,"=""0.000000""","=""2322360""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.2s2.2p2""","=""2D""","=""3/2""",2,4,,"=""T9848LS""","=""L20274""","=""006002.000001""","=""006002.000355""",
C,2,"=""4.3060""","=""0.0004""","=""4.3061""","=""0.0004""","=""a*""","=""3.0e+11""","=""1.2e-01""","=""-0.31""",D+,"=""63.395090""","=""2322360""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.2s2.2p2""","=""2D""","=""5/2""",4,6,,"=""T9848LS""","=""L20274""","=""006002.000002""","=""006002.000356""",
C,2,"=""4.3060""","=""0.0004""","=""4.3061""","=""0.0004""","=""a*""","=""4.9e+10""","=""1.4e-02""","=""-1.26""",D+,"=""63.395090""","=""2322360""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.2s2.2p2""","=""2D""","=""3/2""",4,4,,"=""T9848LS""","=""L20274""","=""006002.000002""","=""006002.000355""",
C,2,"=""4.3150""","=""0.0004""","=""4.3149""","=""0.0004""","=""a*""","=""1.1e+11""","=""6.e-02""","=""-0.9""",E,"=""43002.8""","=""2360540""","=""2s.2p2""","=""4P""","=""1/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""3/2""",2,4,,"=""T9848LS""","=""L20274""","=""006002.000003""","=""006002.000362""",
C,2,"=""4.3150""","=""0.0004""","=""4.3149""","=""0.0004""","=""a*""","=""2.1e+11""","=""6.e-02""","=""-0.9""",E,"=""43002.8""","=""2360540""","=""2s.2p2""","=""4P""","=""1/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""1/2""",2,2,,"=""T9848LS""","=""L20274""","=""006002.000003""","=""006002.000361""",
C,2,"=""4.3150""","=""0.0004""","=""4.3150""","=""0.0004""","=""a*""","=""2.5e+11""","=""9.e-02""","=""-0.2""",E,"=""43053.2""","=""2360540""","=""2s.2p2""","=""4P""","=""5/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""7/2""",6,8,,"=""T9848LS""","=""L20274""","=""006002.000005""","=""006002.000364""",
C,2,"=""4.3150""","=""0.0004""","=""4.3150""","=""0.0004""","=""a*""","=""8.e+10""","=""2.1e-02""","=""-0.9""",E,"=""43053.2""","=""2360540""","=""2s.2p2""","=""4P""","=""5/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""5/2""",6,6,,"=""T9848LS""","=""L20274""","=""006002.000005""","=""006002.000363""",
C,2,"=""4.3150""","=""0.0004""","=""4.3150""","=""0.0004""","=""a*""","=""1.3e+10""","=""2.4e-03""","=""-1.8""",E,"=""43053.2""","=""2360540""","=""2s.2p2""","=""4P""","=""5/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""3/2""",6,4,,"=""T9848LS""","=""L20274""","=""006002.000005""","=""006002.000362""",
C,2,"=""4.3150""","=""0.0004""","=""4.3150""","=""0.0004""","=""a*""","=""1.8e+11""","=""7.e-02""","=""-0.5""",E,"=""43024.9""","=""2360540""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""5/2""",4,6,,"=""T9848LS""","=""L20274""","=""006002.000004""","=""006002.000363""",
C,2,"=""4.3150""","=""0.0004""","=""4.3150""","=""0.0004""","=""a*""","=""1.4e+11""","=""3.8e-02""","=""-0.8""",E,"=""43024.9""","=""2360540""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""3/2""",4,4,,"=""T9848LS""","=""L20274""","=""006002.000004""","=""006002.000362""",
C,2,"=""4.3150""","=""0.0004""","=""4.3150""","=""0.0004""","=""a*""","=""4.2e+10""","=""6.e-03""","=""-1.6""",E,"=""43024.9""","=""2360540""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""1/2""",4,2,,"=""T9848LS""","=""L20274""","=""006002.000004""","=""006002.000361""",
C,2,"=""4.3169""","=""0.0004""","=""4.3168""","=""0.0004""","=""a*""","=""2.3e+11""","=""1.3e-01""","=""-0.6""",E,"=""43002.8""","=""2359520""","=""2s.2p2""","=""4P""","=""1/2""","=""1s.2s.(3S). 2p3.(4S*)""","=""4S*""","=""3/2""",2,4,,"=""T9848LS""","=""L20274""","=""006002.000003""","=""006002.000360""",
C,2,"=""4.3169""","=""0.0004""","=""4.3169""","=""0.0004""","=""a*""","=""7.e+11""","=""1.3e-01""","=""-0.1""",E,"=""43053.2""","=""2359520""","=""2s.2p2""","=""4P""","=""5/2""","=""1s.2s.(3S). 2p3.(4S*)""","=""4S*""","=""3/2""",6,4,,"=""T9848LS""","=""L20274""","=""006002.000005""","=""006002.000360""",
C,2,"=""4.3169""","=""0.0004""","=""4.3169""","=""0.0004""","=""a*""","=""5.e+11""","=""1.3e-01""","=""-0.3""",E,"=""43024.9""","=""2359520""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S). 2p3.(4S*)""","=""4S*""","=""3/2""",4,4,,"=""T9848LS""","=""L20274""","=""006002.000004""","=""006002.000360""",
B,2,"=""5.738""","=""0.003""","=""5.738""","=""0.003""","=""3a""","=""""","=""""","=""""",,"=""0.00""","=""1742870""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s2.6p""","=""1P*""","=""1""",1,3,,"=""""","=""L12120""","=""005002.000001""","=""005002.000156""",
B,2,"=""5.759""","=""0.003""","=""5.759""","=""0.003""","=""7a""","=""""","=""""","=""""",,"=""0.00""","=""1736400""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s2.5p""","=""1P*""","=""1""",1,3,,"=""""","=""L12120""","=""005002.000001""","=""005002.000155""",
B,2,"=""5.801""","=""0.003""","=""5.801""","=""0.003""","=""10a""","=""""","=""""","=""""",,"=""0.00""","=""1723840""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s2.4p""","=""1P*""","=""1""",1,3,,"=""""","=""L12120""","=""005002.000001""","=""005002.000154""",
B,2,"=""5.901""","=""0.003""","=""5.901""","=""0.003""","=""30a""","=""""","=""""","=""""",,"=""0.00""","=""1694630""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s2.3p""","=""1P*""","=""1""",1,3,,"=""""","=""L12120""","=""005002.000001""","=""005002.000153""",
B,1,"=""6.152""","=""0.003""","=""6.152""","=""0.003""","=""10a*""","=""""","=""""","=""""",,"=""15.287""","=""1625500""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(1P*).4p""","=""""","=""1/2 or 3/2""",4,2,,"=""""","=""L11176""","=""005001.000002""","=""005001.000112""",
B,1,"=""6.152""","=""0.003""","=""6.152""","=""0.003""","=""10a*""","=""""","=""""","=""""",,"=""0.0000""","=""1625500""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(1P*).4p""","=""""","=""1/2 or 3/2""",2,2,,"=""""","=""L11176""","=""005001.000001""","=""005001.000112""",
B,1,"=""6.195""","=""0.003""","=""6.195""","=""0.003""","=""40a*""","=""""","=""""","=""""",,"=""15.287""","=""1614200""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(1P*).3p""","=""2P""","=""1/2,3/2""",4,6,,"=""""","=""L11176""","=""005001.000002""","=""005001.000111""",
B,1,"=""6.195""","=""0.003""","=""6.195""","=""0.003""","=""40a*""","=""""","=""""","=""""",,"=""0.0000""","=""1614200""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(1P*).3p""","=""2P""","=""1/2,3/2""",2,6,,"=""""","=""L11176""","=""005001.000001""","=""005001.000111""",
B,1,"=""6.213""","=""0.003""","=""6.213""","=""0.003""","=""30a*""","=""""","=""""","=""""",,"=""15.287""","=""1609500""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(3P*).4p""","=""""","=""1/2 or 3/2""",4,2,,"=""""","=""L11176""","=""005001.000002""","=""005001.000110""",
B,1,"=""6.213""","=""0.003""","=""6.213""","=""0.003""","=""30a*""","=""""","=""""","=""""",,"=""0.0000""","=""1609500""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(3P*).4p""","=""""","=""1/2 or 3/2""",2,2,,"=""""","=""L11176""","=""005001.000001""","=""005001.000110""",
B,1,"=""6.234""","=""0.003""","=""6.234""","=""0.003""","=""10a*""","=""""","=""""","=""""",,"=""15.287""","=""1604100""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2S""","=""1/2""",4,2,,"=""""","=""L11176""","=""005001.000002""","=""005001.000109""",
B,1,"=""6.234""","=""0.003""","=""6.234""","=""0.003""","=""10a*""","=""""","=""""","=""""",,"=""0.0000""","=""1604100""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2S""","=""1/2""",2,2,,"=""""","=""L11176""","=""005001.000001""","=""005001.000109""",
B,1,"=""6.245""","=""0.003""","=""6.245""","=""0.003""","=""30a*""","=""""","=""""","=""""",,"=""15.287""","=""1601300""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2D""","=""3/2,5/2""",4,10,,"=""""","=""L11176""","=""005001.000002""","=""005001.000108""",
B,1,"=""6.245""","=""0.003""","=""6.245""","=""0.003""","=""30a*""","=""""","=""""","=""""",,"=""0.0000""","=""1601300""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2D""","=""3/2,5/2""",2,10,,"=""""","=""L11176""","=""005001.000001""","=""005001.000108""",
B,1,"=""6.256""","=""0.003""","=""6.256""","=""0.003""","=""30a*""","=""""","=""""","=""""",,"=""15.287""","=""1598500""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2P""","=""1/2,3/2""",4,6,,"=""""","=""L11176""","=""005001.000002""","=""005001.000107""",
B,1,"=""6.256""","=""0.003""","=""6.256""","=""0.003""","=""30a*""","=""""","=""""","=""""",,"=""0.0000""","=""1598500""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2P""","=""1/2,3/2""",2,6,,"=""""","=""L11176""","=""005001.000001""","=""005001.000107""",
B,2,"=""6.379""","=""0.003""","=""6.379""","=""0.003""","=""80a""","=""""","=""""","=""""",,"=""0.00""","=""1567640""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s2.2p""","=""1P*""","=""1""",1,3,,"=""""","=""L12120""","=""005002.000001""","=""005002.000151""",
B,1,"=""6.462""","=""0.003""","=""6.462""","=""0.003""","=""40a*""","=""""","=""""","=""""",,"=""15.287""","=""1547500""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p2.(1S)""","=""2S""","=""1/2""",4,2,,"=""""","=""L11176""","=""005001.000002""","=""005001.000116""",
B,1,"=""6.462""","=""0.003""","=""6.462""","=""0.003""","=""40a*""","=""""","=""""","=""""",,"=""0.0000""","=""1547500""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p2.(1S)""","=""2S""","=""1/2""",2,2,,"=""""","=""L11176""","=""005001.000001""","=""005001.000116""",
B,1,"=""6.501""","=""0.003""","=""6.501""","=""0.003""","=""100a*""","=""""","=""""","=""""",,"=""15.287""","=""1538200""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p2.(1D)""","=""2D""","=""3/2,5/2""",4,10,,"=""""","=""L11176""","=""005001.000002""","=""005001.000115""",
B,1,"=""6.501""","=""0.003""","=""6.501""","=""0.003""","=""100a*""","=""""","=""""","=""""",,"=""0.0000""","=""1538200""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p2.(1D)""","=""2D""","=""3/2,5/2""",2,10,,"=""""","=""L11176""","=""005001.000001""","=""005001.000115""",
B,1,"=""6.506""","=""0.003""","=""6.506""","=""0.003""","=""80a*""","=""""","=""""","=""""",,"=""15.287""","=""1537100""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p2.(3P)""","=""2P""","=""1/2,3/2""",4,6,,"=""""","=""L11176""","=""005001.000002""","=""005001.000106""",
B,1,"=""6.506""","=""0.003""","=""6.506""","=""0.003""","=""80a*""","=""""","=""""","=""""",,"=""0.0000""","=""1537100""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p2.(3P)""","=""2P""","=""1/2,3/2""",2,6,,"=""""","=""L11176""","=""005001.000001""","=""005001.000106""",
Be,2,"=""8.085""","=""0.003""","=""8.085""","=""0.003""","=""*""","=""""","=""""","=""""",,"=""977597.9+x""","=""2214500+x""","=""1s.2p2""","=""4P""","=""5/2""","=""2p3""","=""4S*""","=""3/2""",6,4,,"=""""","=""L12158""","=""004002.000089""","=""004002.000242""",
Be,2,"=""8.085""","=""0.003""","=""8.085""","=""0.003""","=""*""","=""""","=""""","=""""",,"=""977597.9+x""","=""2214500+x""","=""1s.2p2""","=""4P""","=""3/2""","=""2p3""","=""4S*""","=""3/2""",4,4,,"=""""","=""L12158""","=""004002.000088""","=""004002.000242""",
Be,2,"=""8.085""","=""0.003""","=""8.085""","=""0.003""","=""*""","=""""","=""""","=""""",,"=""977597.9+x""","=""2214500+x""","=""1s.2p2""","=""4P""","=""1/2""","=""2p3""","=""4S*""","=""3/2""",2,4,,"=""""","=""L12158""","=""004002.000087""","=""004002.000242""",
Be,2,"=""8.258""","=""0.003""","=""8.258""","=""0.003""","=""a*""","=""""","=""""","=""""",,"=""0.000""","=""1210900a?""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).3s.3p.(1P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L12158""","=""004002.000001""","=""004002.000234""",
Be,2,"=""8.258""","=""0.003""","=""8.258""","=""0.003""","=""a*""","=""""","=""""","=""""",,"=""0.000""","=""1210900a?""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).3s.3p.(1P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L12158""","=""004002.000001""","=""004002.000233""",
Be,2,"=""8.364""","=""0.003""","=""8.364""","=""0.003""","=""a*""","=""""","=""""","=""""",,"=""0.000""","=""1195600a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).3s.3p.(3P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L12158""","=""004002.000001""","=""004002.000232""",
Be,2,"=""8.364""","=""0.003""","=""8.364""","=""0.003""","=""a*""","=""""","=""""","=""""",,"=""0.000""","=""1195600a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).3s.3p.(3P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L12158""","=""004002.000001""","=""004002.000231""",
Be,1,"=""8.916""","=""0.005""","=""8.916""","=""0.005""","=""a,B""","=""""","=""""","=""""",,"=""0.0000""","=""1121600?""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s.(1S).3s.4p.(1P*)?""","=""1P*?""","=""1""",1,3,,"=""""","=""L2305""","=""004001.000001""","=""004001.000219""",
Be,1,"=""9.024""","=""0.003""","=""9.024""","=""0.003""","=""a,B""","=""""","=""""","=""""",,"=""0.0000""","=""1108200?""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s.(1S).3s.3p.(1P*)?""","=""1P*?""","=""1""",1,3,,"=""""","=""L6979""","=""004001.000001""","=""004001.000218""",
Be,1,"=""9.067""","=""0.005""","=""9.067""","=""0.005""","=""a,B""","=""""","=""""","=""""",,"=""0.0000""","=""1102900?""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s.(3S).3s.4p.(3P*)?""","=""1P*?""","=""1""",1,3,,"=""""","=""L2305""","=""004001.000001""","=""004001.000217""",
Be,2,"=""9.149""","=""0.004""","=""9.1566""","=""0.0011""","=""a*""","=""""","=""""","=""""",,"=""31928.744""","=""1124040?""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).5p""","=""2P""","=""3/2""",2,4,,"=""""","=""L12158""","=""004002.000002""","=""004002.000227""",
Be,2,"=""9.149""","=""0.004""","=""9.1566""","=""0.0011""","=""a*""","=""""","=""""","=""""",,"=""31928.744""","=""1124040?""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).5p""","=""2P""","=""1/2""",2,2,,"=""""","=""L12158""","=""004002.000002""","=""004002.000226""",
Be,2,"=""9.149""","=""0.004""","=""9.1566""","=""0.0011""","=""a*""","=""""","=""""","=""""",,"=""31935.320""","=""1124040?""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).5p""","=""2P""","=""3/2""",4,4,,"=""""","=""L12158""","=""004002.000003""","=""004002.000227""",
Be,2,"=""9.149""","=""0.004""","=""9.1566""","=""0.0011""","=""a*""","=""""","=""""","=""""",,"=""31935.320""","=""1124040?""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).5p""","=""2P""","=""1/2""",4,2,,"=""""","=""L12158""","=""004002.000003""","=""004002.000226""",
Be,1,"=""9.220""","=""0.003""","=""9.220""","=""0.003""","=""a,B""","=""""","=""""","=""""",,"=""0.0000""","=""1084600?""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s.(3S).3s.3p.(3P*)?""","=""1P*?""","=""1""",1,3,,"=""""","=""L6979""","=""004001.000001""","=""004001.000216""",
Be,2,"=""9.253""","=""0.006""","=""9.253""","=""0.006""","=""4a*""","=""""","=""""","=""""",,"=""31928.744""","=""1112700""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).4p""","=""2P""","=""3/2""",2,4,,"=""""","=""L12158""","=""004002.000002""","=""004002.000217""",
Be,2,"=""9.253""","=""0.006""","=""9.253""","=""0.006""","=""4a*""","=""""","=""""","=""""",,"=""31928.744""","=""1112700""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).4p""","=""2P""","=""1/2""",2,2,,"=""""","=""L12158""","=""004002.000002""","=""004002.000216""",
Be,2,"=""9.253""","=""0.006""","=""9.253""","=""0.006""","=""4a*""","=""""","=""""","=""""",,"=""31935.320""","=""1112700""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).4p""","=""2P""","=""3/2""",4,4,,"=""""","=""L12158""","=""004002.000003""","=""004002.000217""",
Be,2,"=""9.253""","=""0.006""","=""9.253""","=""0.006""","=""4a*""","=""""","=""""","=""""",,"=""31935.320""","=""1112700""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).4p""","=""2P""","=""1/2""",4,2,,"=""""","=""L12158""","=""004002.000003""","=""004002.000216""",
Be,2,"=""9.316""","=""0.003""","=""9.316""","=""0.003""","=""11a*""","=""""","=""""","=""""",,"=""0.000""","=""1073400a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2p.(3P*).3s""","=""2P*""","=""3/2""",2,4,,"=""""","=""L12158""","=""004002.000001""","=""004002.000131""",
Be,2,"=""9.316""","=""0.003""","=""9.316""","=""0.003""","=""11a*""","=""""","=""""","=""""",,"=""0.000""","=""1073400a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2p.(3P*).3s""","=""2P*""","=""1/2""",2,2,,"=""""","=""L12158""","=""004002.000001""","=""004002.000130""",
Be,2,"=""9.343""","=""0.003""","=""9.343""","=""0.003""","=""11a*""","=""""","=""""","=""""",,"=""0.000""","=""1070300a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).4p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L12158""","=""004002.000001""","=""004002.000116""",
Be,2,"=""9.343""","=""0.003""","=""9.343""","=""0.003""","=""11a*""","=""""","=""""","=""""",,"=""0.000""","=""1070300a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).4p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L12158""","=""004002.000001""","=""004002.000115""",
Be,2,"=""9.371""","=""0.004""","=""9.372""","=""0.004""","=""7a*""","=""""","=""""","=""""",,"=""31928.744""","=""1098900""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).4p""","=""2P""","=""3/2""",2,4,,"=""""","=""L12158""","=""004002.000002""","=""004002.000184""",
Be,2,"=""9.371""","=""0.004""","=""9.372""","=""0.004""","=""7a*""","=""""","=""""","=""""",,"=""31928.744""","=""1098900""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).4p""","=""2P""","=""1/2""",2,2,,"=""""","=""L12158""","=""004002.000002""","=""004002.000183""",
Be,2,"=""9.371""","=""0.004""","=""9.372""","=""0.004""","=""7a*""","=""""","=""""","=""""",,"=""31935.320""","=""1098900""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).4p""","=""2P""","=""3/2""",4,4,,"=""""","=""L12158""","=""004002.000003""","=""004002.000184""",
Be,2,"=""9.371""","=""0.004""","=""9.372""","=""0.004""","=""7a*""","=""""","=""""","=""""",,"=""31935.320""","=""1098900""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).4p""","=""2P""","=""1/2""",4,2,,"=""""","=""L12158""","=""004002.000003""","=""004002.000183""",
Be,2,"=""9.393""","=""0.003""","=""9.393""","=""0.003""","=""2a*""","=""""","=""""","=""""",,"=""0.000""","=""1064600a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1S).3p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L12158""","=""004002.000001""","=""004002.000113""",
Be,2,"=""9.393""","=""0.003""","=""9.393""","=""0.003""","=""2a*""","=""""","=""""","=""""",,"=""0.000""","=""1064600a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1S).3p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L12158""","=""004002.000001""","=""004002.000112""",
Be,2,"=""9.456""","=""0.004""","=""9.461""","=""0.004""","=""8a*""","=""""","=""""","=""""",,"=""31928.744""","=""1088900?""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).3p""","=""2P""","=""3/2""",2,4,,"=""""","=""L12158""","=""004002.000002""","=""004002.000171""",
Be,2,"=""9.456""","=""0.004""","=""9.461""","=""0.004""","=""8a*""","=""""","=""""","=""""",,"=""31928.744""","=""1088900?""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).3p""","=""2P""","=""1/2""",2,2,,"=""""","=""L12158""","=""004002.000002""","=""004002.000170""",
