espectro,Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference,Lande
H I,"=""6g""","=""2G""","=""7/2""",8.0,"=""(""","=""13.220703978574""","="")""","=""0.000000000010""","="" 100                    ""","=""001001.001.000103""","=""L15291""",
H I,"=""6g""","=""2G""","=""9/2""",10.0,"=""(""","=""13.220704146589""","="")""","=""0.000000000010""","="" 100                    ""","=""001001.001.000104""","=""L15291""",
H I,"=""6h""","=""2H*""","=""9/2""",10.0,"=""(""","=""13.220704146258""","="")""","=""0.000000000010""","="" 100                    ""","=""001001.001.000105""","=""L15291""",
H I,"=""6h""","=""2H*""","=""11/2""",12.0,"=""(""","=""13.220704258272""","="")""","=""0.000000000010""","="" 100                    ""","=""001001.001.000106""","=""L15291""",
H I,"=""7p""","=""2P*""","=""1/2""",2.0,"=""[""","=""13.320916647""","=""]""","=""0.000000005""","="" 100                    ""","=""001001.001.000028""","=""L15291""",
H I,"=""7p""","=""2P*""","=""3/2""",4.0,"=""[""","=""13.320917704""","=""]""","=""0.000000005""","="" 100                    ""","=""001001.001.000031""","=""L15291""",
H I,"=""7s""","=""2S""","=""1/2""",2.0,"=""[""","=""13.320916750""","=""]""","=""0.000000005""","="" 100                    ""","=""001001.001.000029""","=""L15291""",
H I,"=""7d""","=""2D""","=""3/2""",4.0,"=""[""","=""13.320917703""","=""]""","=""0.000000003""","="" 100                    ""","=""001001.001.000030""","=""L15291""",
H I,"=""7d""","=""2D""","=""5/2""",6.0,"=""[""","=""13.320918056""","=""]""","=""0.000000003""","="" 100                    ""","=""001001.001.000032""","=""L15291""",
H I,"=""7""","=""""","=""""",98.0,"=""""","=""13.32091817""","=""""","=""0.00000011""","="" 100                    ""","=""001001.001.000064""","=""L15291""",
H I,"=""8p""","=""2P*""","=""1/2""",2.0,"=""[""","=""13.38596007869""","=""]""","=""0.00000000007""","="" 100                    ""","=""001001.001.000033""","=""L15291""",
H I,"=""8p""","=""2P*""","=""3/2""",4.0,"=""[""","=""13.38596078751""","=""]""","=""0.00000000007""","="" 100                    ""","=""001001.001.000036""","=""L15291""",
H I,"=""8s""","=""2S""","=""1/2""",2.0,"=""""","=""13.38596014765""","=""""","=""0.00000000004""","="" 100                    ""","=""001001.001.000034""","=""L15291""",
H I,"=""8d""","=""2D""","=""3/2""",4.0,"=""""","=""13.38596078636""","=""""","=""0.00000000004""","="" 100                    ""","=""001001.001.000035""","=""L15291""",
H I,"=""8d""","=""2D""","=""5/2""",6.0,"=""""","=""13.385961022639""","=""""","=""0.000000000025""","="" 100                    ""","=""001001.001.000037""","=""L15291""",
H I,"=""8""","=""""","=""""",128.0,"=""""","=""13.38596103""","=""""","=""0.00000009""","="" 100                    ""","=""001001.001.000065""","=""L15291""",
H I,"=""9p""","=""2P*""","=""1/2""",2.0,"=""[""","=""13.430553600""","=""]""","=""0.000000005""","="" 100                    ""","=""001001.001.000038""","=""L15291""",
H I,"=""9p""","=""2P*""","=""3/2""",4.0,"=""[""","=""13.430554098""","=""]""","=""0.000000005""","="" 100                    ""","=""001001.001.000041""","=""L15291""",
H I,"=""9s""","=""2S""","=""1/2""",2.0,"=""[""","=""13.430553648""","=""]""","=""0.000000005""","="" 100                    ""","=""001001.001.000039""","=""L15291""",
H I,"=""9d""","=""2D""","=""3/2""",4.0,"=""[""","=""13.430554096""","=""]""","=""0.000000003""","="" 100                    ""","=""001001.001.000040""","=""L15291""",
H I,"=""9d""","=""2D""","=""5/2""",6.0,"=""[""","=""13.430554262""","=""]""","=""0.000000003""","="" 100                    ""","=""001001.001.000042""","=""L15291""",
H I,"=""9""","=""""","=""""",162.0,"=""""","=""13.43055424""","=""""","=""0.00000009""","="" 100                    ""","=""001001.001.000066""","=""L15291""",
